#kinematics calculation of exex
#vertex z = 600 mm, E_reaction = 29.719 MeV
#theta_cm, theta3_lab, Ek3_lab, theta4_lab, Ek4_lab
0 0 19.8443 0 0.994737
0.1 0.0387844 19.8442 0.173301 0.994751
0.2 0.0775688 19.8442 0.346595 0.994794
0.3 0.116353 19.8441 0.519877 0.994866
0.4 0.155137 19.844 0.693139 0.994966
0.5 0.193922 19.8439 0.866375 0.995095
0.6 0.232706 19.8437 1.03958 0.995253
0.7 0.27149 19.8436 1.21275 0.99544
0.8 0.310274 19.8433 1.38587 0.995655
0.9 0.349058 19.8431 1.55893 0.995899
1 0.387841 19.8428 1.73195 0.996172
1.1 0.426625 19.8425 1.90489 0.996473
1.2 0.465408 19.8422 2.07777 0.996804
1.3 0.504191 19.8418 2.25057 0.997162
1.4 0.542974 19.8415 2.42328 0.99755
1.5 0.581757 19.841 2.59591 0.997966
1.6 0.620539 19.8406 2.76844 0.998411
1.7 0.659321 19.8401 2.94087 0.998885
1.8 0.698103 19.8396 3.11319 0.999387
1.9 0.736885 19.8391 3.28539 0.999918
2 0.775666 19.8385 3.45748 1.00048
2.1 0.814447 19.8379 3.62943 1.00107
2.2 0.853228 19.8373 3.80125 1.00168
2.3 0.892008 19.8367 3.97293 1.00233
2.4 0.930788 19.836 4.14447 1.003
2.5 0.969568 19.8353 4.31586 1.00371
2.6 1.00835 19.8346 4.48708 1.00444
2.7 1.04713 19.8338 4.65814 1.0052
2.8 1.0859 19.833 4.82903 1.00599
2.9 1.12468 19.8322 4.99975 1.00681
3 1.16346 19.8313 5.17028 1.00765
3.1 1.20224 19.8305 5.34063 1.00853
3.2 1.24101 19.8296 5.51078 1.00943
3.3 1.27979 19.8286 5.68073 1.01036
3.4 1.31856 19.8277 5.85047 1.01133
3.5 1.35734 19.8267 6.02 1.01232
3.6 1.39611 19.8257 6.18932 1.01333
3.7 1.43489 19.8246 6.35841 1.01438
3.8 1.47366 19.8235 6.52727 1.01546
3.9 1.51243 19.8224 6.69589 1.01656
4 1.5512 19.8213 6.86428 1.01769
4.1 1.58997 19.8201 7.03242 1.01886
4.2 1.62875 19.819 7.20031 1.02005
4.3 1.66751 19.8177 7.36794 1.02127
4.4 1.70628 19.8165 7.53531 1.02251
4.5 1.74505 19.8152 7.70241 1.02379
4.6 1.78382 19.8139 7.86924 1.02509
4.7 1.82259 19.8126 8.03578 1.02643
4.8 1.86135 19.8112 8.20205 1.02779
4.9 1.90012 19.8098 8.36802 1.02918
5 1.93888 19.8084 8.5337 1.0306
5.1 1.97765 19.807 8.69908 1.03205
5.2 2.01641 19.8055 8.86416 1.03353
5.3 2.05517 19.804 9.02892 1.03503
5.4 2.09393 19.8024 9.19337 1.03656
5.5 2.13269 19.8009 9.3575 1.03813
5.6 2.17145 19.7993 9.5213 1.03972
5.7 2.21021 19.7977 9.68478 1.04134
5.8 2.24897 19.796 9.84792 1.04298
5.9 2.28773 19.7943 10.0107 1.04466
6 2.32648 19.7926 10.1732 1.04637
6.1 2.36524 19.7909 10.3353 1.0481
6.2 2.40399 19.7891 10.497 1.04986
6.3 2.44274 19.7873 10.6584 1.05165
6.4 2.4815 19.7855 10.8195 1.05347
6.5 2.52025 19.7837 10.9801 1.05532
6.6 2.559 19.7818 11.1404 1.0572
6.7 2.59774 19.7799 11.3003 1.0591
6.8 2.63649 19.778 11.4599 1.06103
6.9 2.67524 19.776 11.619 1.063
7 2.71398 19.774 11.7778 1.06499
7.1 2.75273 19.772 11.9362 1.06701
7.2 2.79147 19.7699 12.0942 1.06905
7.3 2.83021 19.7679 12.2517 1.07113
7.4 2.86895 19.7658 12.4089 1.07323
7.5 2.90769 19.7636 12.5657 1.07537
7.6 2.94643 19.7615 12.722 1.07753
7.7 2.98517 19.7593 12.878 1.07972
7.8 3.0239 19.7571 13.0335 1.08194
7.9 3.06264 19.7548 13.1886 1.08418
8 3.10137 19.7525 13.3432 1.08646
8.1 3.1401 19.7502 13.4975 1.08876
8.2 3.17883 19.7479 13.6513 1.09109
8.3 3.21756 19.7455 13.8046 1.09345
8.4 3.25629 19.7432 13.9575 1.09584
8.5 3.29502 19.7407 14.11 1.09826
8.6 3.33374 19.7383 14.262 1.1007
8.7 3.37247 19.7358 14.4136 1.10318
8.8 3.41119 19.7333 14.5647 1.10568
8.9 3.44991 19.7308 14.7154 1.10821
9 3.48863 19.7282 14.8656 1.11077
9.1 3.52735 19.7256 15.0153 1.11336
9.2 3.56607 19.723 15.1646 1.11597
9.3 3.60478 19.7204 15.3134 1.11862
9.4 3.64349 19.7177 15.4618 1.12129
9.5 3.68221 19.715 15.6096 1.12399
9.6 3.72092 19.7123 15.757 1.12672
9.7 3.75963 19.7095 15.9039 1.12948
9.8 3.79833 19.7067 16.0503 1.13226
9.9 3.83704 19.7039 16.1963 1.13508
10 3.87574 19.7011 16.3417 1.13792
10.1 3.91445 19.6982 16.4867 1.14079
10.2 3.95315 19.6953 16.6311 1.14369
10.3 3.99185 19.6924 16.7751 1.14662
10.4 4.03054 19.6894 16.9186 1.14957
10.5 4.06924 19.6864 17.0615 1.15256
10.6 4.10793 19.6834 17.204 1.15557
10.7 4.14663 19.6804 17.346 1.15861
10.8 4.18532 19.6773 17.4874 1.16167
10.9 4.224 19.6742 17.6284 1.16477
11 4.26269 19.6711 17.7688 1.1679
11.1 4.30138 19.668 17.9088 1.17105
11.2 4.34006 19.6648 18.0482 1.17423
11.3 4.37874 19.6616 18.1871 1.17744
11.4 4.41742 19.6583 18.3255 1.18068
11.5 4.4561 19.6551 18.4634 1.18394
11.6 4.49478 19.6518 18.6007 1.18723
11.7 4.53345 19.6484 18.7376 1.19056
11.8 4.57212 19.6451 18.8739 1.19391
11.9 4.61079 19.6417 19.0097 1.19728
12 4.64946 19.6383 19.1449 1.20069
12.1 4.68813 19.6349 19.2796 1.20412
12.2 4.72679 19.6314 19.4138 1.20759
12.3 4.76546 19.6279 19.5475 1.21108
12.4 4.80412 19.6244 19.6807 1.21459
12.5 4.84277 19.6209 19.8133 1.21814
12.6 4.88143 19.6173 19.9454 1.22172
12.7 4.92009 19.6137 20.0769 1.22532
12.8 4.95874 19.6101 20.2079 1.22895
12.9 4.99739 19.6064 20.3384 1.23261
13 5.03604 19.6027 20.4683 1.23629
13.1 5.07468 19.599 20.5977 1.24001
13.2 5.11333 19.5953 20.7266 1.24375
13.3 5.15197 19.5915 20.8549 1.24752
13.4 5.19061 19.5877 20.9827 1.25132
13.5 5.22924 19.5839 21.1099 1.25514
13.6 5.26788 19.58 21.2366 1.259
13.7 5.30651 19.5761 21.3628 1.26288
13.8 5.34514 19.5722 21.4884 1.26679
13.9 5.38377 19.5683 21.6135 1.27073
14 5.4224 19.5643 21.738 1.27469
14.1 5.46102 19.5603 21.862 1.27869
14.2 5.49964 19.5563 21.9854 1.28271
14.3 5.53826 19.5522 22.1083 1.28676
14.4 5.57688 19.5482 22.2307 1.29083
14.5 5.61549 19.5441 22.3525 1.29494
14.6 5.6541 19.5399 22.4737 1.29907
14.7 5.69271 19.5358 22.5944 1.30323
14.8 5.73132 19.5316 22.7146 1.30742
14.9 5.76992 19.5274 22.8342 1.31163
