#kinematics calculation of gsgs
#vertex z = 300 mm, E_reaction = 52.061 MeV
#theta_cm, theta3_lab, Ek3_lab, theta4_lab, Ek4_lab
0 0 52.061 180 0
0.1 0.0499419 52.061 89.9499 3.96467e-05
0.2 0.0998837 52.0608 89.8999 0.000158587
0.3 0.149826 52.0606 89.8498 0.00035682
0.4 0.199767 52.0604 89.7998 0.000634345
0.5 0.249709 52.06 89.7497 0.000991162
0.6 0.299651 52.0596 89.6997 0.00142727
0.7 0.349593 52.0591 89.6496 0.00194267
0.8 0.399535 52.0585 89.5995 0.00253735
0.9 0.449477 52.0578 89.5495 0.00321132
1 0.499419 52.057 89.4994 0.00396457
1.1 0.549361 52.0562 89.4494 0.00479711
1.2 0.599302 52.0553 89.3993 0.00570892
1.3 0.649244 52.0543 89.3492 0.00670001
1.4 0.699186 52.0532 89.2992 0.00777037
1.5 0.749128 52.0521 89.2491 0.00892
1.6 0.79907 52.0509 89.1991 0.0101489
1.7 0.849012 52.0495 89.149 0.0114571
1.8 0.898954 52.0482 89.099 0.0128445
1.9 0.948896 52.0467 89.0489 0.0143112
2 0.998838 52.0451 88.9988 0.0158571
2.1 1.04878 52.0435 88.9488 0.0174822
2.2 1.09872 52.0418 88.8987 0.0191867
2.3 1.14866 52.04 88.8487 0.0209703
2.4 1.19861 52.0382 88.7986 0.0228332
2.5 1.24855 52.0362 88.7485 0.0247753
2.6 1.29849 52.0342 88.6985 0.0267966
2.7 1.34843 52.0321 88.6484 0.0288971
2.8 1.39837 52.0299 88.5984 0.0310768
2.9 1.44831 52.0277 88.5483 0.0333358
3 1.49826 52.0253 88.4983 0.0356739
3.1 1.5482 52.0229 88.4482 0.0380912
3.2 1.59814 52.0204 88.3981 0.0405877
3.3 1.64808 52.0178 88.3481 0.0431633
3.4 1.69802 52.0152 88.298 0.0458182
3.5 1.74797 52.0124 88.248 0.0485521
3.6 1.79791 52.0096 88.1979 0.0513652
3.7 1.84785 52.0067 88.1478 0.0542575
3.8 1.89779 52.0038 88.0978 0.0572289
3.9 1.94773 52.0007 88.0477 0.0602794
4 1.99768 51.9976 87.9977 0.063409
4.1 2.04762 51.9944 87.9476 0.0666177
4.2 2.09756 51.9911 87.8976 0.0699055
4.3 2.1475 51.9877 87.8475 0.0732724
4.4 2.19744 51.9843 87.7974 0.0767183
4.5 2.24739 51.9808 87.7474 0.0802433
4.6 2.29733 51.9772 87.6973 0.0838474
4.7 2.34727 51.9735 87.6473 0.0875305
4.8 2.39721 51.9697 87.5972 0.0912926
4.9 2.44715 51.9659 87.5472 0.0951338
5 2.4971 51.9619 87.4971 0.0990539
5.1 2.54704 51.9579 87.447 0.103053
5.2 2.59698 51.9539 87.397 0.107131
5.3 2.64692 51.9497 87.3469 0.111288
5.4 2.69687 51.9455 87.2969 0.115524
5.5 2.74681 51.9412 87.2468 0.119839
5.6 2.79675 51.9368 87.1967 0.124233
5.7 2.84669 51.9323 87.1467 0.128706
5.8 2.89663 51.9277 87.0966 0.133258
5.9 2.94658 51.9231 87.0466 0.137888
6 2.99652 51.9184 86.9965 0.142598
6.1 3.04646 51.9136 86.9465 0.147386
6.2 3.0964 51.9087 86.8964 0.152253
6.3 3.14634 51.9038 86.8463 0.157199
6.4 3.19629 51.8988 86.7963 0.162224
6.5 3.24623 51.8937 86.7462 0.167328
6.6 3.29617 51.8885 86.6962 0.17251
6.7 3.34611 51.8832 86.6461 0.177771
6.8 3.39606 51.8779 86.5961 0.183111
6.9 3.446 51.8725 86.546 0.18853
7 3.49594 51.867 86.4959 0.194027
7.1 3.54588 51.8614 86.4459 0.199603
7.2 3.59583 51.8557 86.3958 0.205258
7.3 3.64577 51.85 86.3458 0.210992
7.4 3.69571 51.8442 86.2957 0.216804
7.5 3.74565 51.8383 86.2456 0.222695
7.6 3.79559 51.8323 86.1956 0.228664
7.7 3.84554 51.8263 86.1455 0.234712
7.8 3.89548 51.8202 86.0955 0.240838
7.9 3.94542 51.814 86.0454 0.247043
8 3.99536 51.8077 85.9954 0.253327
8.1 4.04531 51.8013 85.9453 0.259689
8.2 4.09525 51.7949 85.8952 0.26613
8.3 4.14519 51.7884 85.8452 0.272649
8.4 4.19513 51.7818 85.7951 0.279247
8.5 4.24508 51.7751 85.7451 0.285923
8.6 4.29502 51.7683 85.695 0.292677
8.7 4.34496 51.7615 85.645 0.29951
8.8 4.3949 51.7546 85.5949 0.306421
8.9 4.44485 51.7476 85.5448 0.313411
9 4.49479 51.7405 85.4948 0.320479
9.1 4.54473 51.7334 85.4447 0.327625
9.2 4.59467 51.7262 85.3947 0.334849
9.3 4.64462 51.7188 85.3446 0.342152
9.4 4.69456 51.7115 85.2946 0.349533
9.5 4.7445 51.704 85.2445 0.356993
9.6 4.79445 51.6965 85.1944 0.36453
9.7 4.84439 51.6889 85.1444 0.372146
9.8 4.89433 51.6812 85.0943 0.37984
9.9 4.94427 51.6734 85.0443 0.387612
10 4.99422 51.6655 84.9942 0.395462
10.1 5.04416 51.6576 84.9442 0.40339
10.2 5.0941 51.6496 84.8941 0.411396
10.3 5.14404 51.6415 84.844 0.419481
10.4 5.19399 51.6334 84.794 0.427643
10.5 5.24393 51.6251 84.7439 0.435883
10.6 5.29387 51.6168 84.6939 0.444201
10.7 5.34382 51.6084 84.6438 0.452598
10.8 5.39376 51.5999 84.5938 0.461072
10.9 5.4437 51.5914 84.5437 0.469624
11 5.49364 51.5827 84.4936 0.478254
11.1 5.54359 51.574 84.4436 0.486961
11.2 5.59353 51.5653 84.3935 0.495747
11.3 5.64347 51.5564 84.3435 0.50461
11.4 5.69342 51.5474 84.2934 0.513551
11.5 5.74336 51.5384 84.2434 0.52257
11.6 5.7933 51.5293 84.1933 0.531666
11.7 5.84325 51.5202 84.1432 0.540841
11.8 5.89319 51.5109 84.0932 0.550092
11.9 5.94313 51.5016 84.0431 0.559422
12 5.99307 51.4922 83.9931 0.568829
12.1 6.04302 51.4827 83.943 0.578313
12.2 6.09296 51.4731 83.893 0.587876
12.3 6.1429 51.4635 83.8429 0.597515
12.4 6.19285 51.4538 83.7928 0.607232
12.5 6.24279 51.444 83.7428 0.617027
12.6 6.29273 51.4341 83.6927 0.626899
12.7 6.34268 51.4242 83.6427 0.636848
12.8 6.39262 51.4141 83.5926 0.646875
12.9 6.44256 51.404 83.5426 0.656979
13 6.49251 51.3938 83.4925 0.66716
13.1 6.54245 51.3836 83.4424 0.677419
13.2 6.59239 51.3732 83.3924 0.687754
13.3 6.64234 51.3628 83.3423 0.698167
13.4 6.69228 51.3523 83.2923 0.708658
13.5 6.74222 51.3418 83.2422 0.719225
13.6 6.79217 51.3311 83.1922 0.729869
13.7 6.84211 51.3204 83.1421 0.740591
13.8 6.89205 51.3096 83.092 0.751389
13.9 6.942 51.2987 83.042 0.762265
14 6.99194 51.2878 82.9919 0.773217
14.1 7.04189 51.2768 82.9419 0.784247
14.2 7.09183 51.2656 82.8918 0.795353
14.3 7.14177 51.2545 82.8418 0.806536
14.4 7.19172 51.2432 82.7917 0.817796
14.5 7.24166 51.2319 82.7417 0.829133
14.6 7.2916 51.2205 82.6916 0.840546
14.7 7.34155 51.209 82.6415 0.852037
14.8 7.39149 51.1974 82.5915 0.863604
14.9 7.44144 51.1858 82.5414 0.875247
15 7.49138 51.174 82.4914 0.886968
15.1 7.54132 51.1622 82.4413 0.898765
15.2 7.59127 51.1504 82.3913 0.910638
15.3 7.64121 51.1384 82.3412 0.922588
15.4 7.69115 51.1264 82.2911 0.934615
15.5 7.7411 51.1143 82.2411 0.946717
15.6 7.79104 51.1021 82.191 0.958897
15.7 7.84099 51.0898 82.141 0.971152
15.8 7.89093 51.0775 82.0909 0.983485
15.9 7.94087 51.0651 82.0409 0.995893
16 7.99082 51.0526 81.9908 1.00838
16.1 8.04076 51.0401 81.9408 1.02094
16.2 8.09071 51.0274 81.8907 1.03358
16.3 8.14065 51.0147 81.8406 1.04629
16.4 8.1906 51.0019 81.7906 1.05908
16.5 8.24054 50.9891 81.7405 1.07194
16.6 8.29048 50.9761 81.6905 1.08488
16.7 8.34043 50.9631 81.6404 1.0979
16.8 8.39037 50.95 81.5904 1.11099
16.9 8.44032 50.9368 81.5403 1.12416
17 8.49026 50.9236 81.4903 1.13741
17.1 8.54021 50.9103 81.4402 1.15073
17.2 8.59015 50.8969 81.3901 1.16413
17.3 8.64009 50.8834 81.3401 1.1776
17.4 8.69004 50.8699 81.29 1.19115
17.5 8.73998 50.8562 81.24 1.20477
17.6 8.78993 50.8425 81.1899 1.21847
17.7 8.83987 50.8288 81.1399 1.23225
17.8 8.88982 50.8149 81.0898 1.2461
17.9 8.93976 50.801 81.0398 1.26002
18 8.98971 50.787 80.9897 1.27402
18.1 9.03965 50.7729 80.9396 1.2881
18.2 9.0896 50.7587 80.8896 1.30225
18.3 9.13954 50.7445 80.8395 1.31648
18.4 9.18949 50.7302 80.7895 1.33078
18.5 9.23943 50.7158 80.7394 1.34516
18.6 9.28938 50.7014 80.6894 1.35961
18.7 9.33932 50.6869 80.6393 1.37414
18.8 9.38927 50.6723 80.5893 1.38875
18.9 9.43921 50.6576 80.5392 1.40343
19 9.48916 50.6428 80.4891 1.41818
19.1 9.5391 50.628 80.4391 1.43301
19.2 9.58905 50.6131 80.389 1.44791
19.3 9.63899 50.5981 80.339 1.46289
19.4 9.68894 50.5831 80.2889 1.47794
19.5 9.73888 50.5679 80.2389 1.49307
19.6 9.78883 50.5527 80.1888 1.50827
19.7 9.83877 50.5374 80.1388 1.52355
19.8 9.88872 50.5221 80.0887 1.5389
19.9 9.93866 50.5067 80.0386 1.55433
20 9.98861 50.4912 79.9886 1.56983
20.1 10.0386 50.4756 79.9385 1.58541
20.2 10.0885 50.4599 79.8885 1.60106
20.3 10.1384 50.4442 79.8384 1.61678
20.4 10.1884 50.4284 79.7884 1.63258
20.5 10.2383 50.4125 79.7383 1.64845
20.6 10.2883 50.3966 79.6883 1.6644
20.7 10.3382 50.3806 79.6382 1.68042
20.8 10.3882 50.3645 79.5882 1.69652
20.9 10.4381 50.3483 79.5381 1.71269
21 10.4881 50.3321 79.4881 1.72893
21.1 10.538 50.3157 79.438 1.74525
21.2 10.588 50.2994 79.3879 1.76165
21.3 10.6379 50.2829 79.3379 1.77811
21.4 10.6878 50.2663 79.2878 1.79465
21.5 10.7378 50.2497 79.2378 1.81127
21.6 10.7877 50.233 79.1877 1.82795
21.7 10.8377 50.2163 79.1377 1.84471
21.8 10.8876 50.1995 79.0876 1.86155
21.9 10.9376 50.1825 79.0376 1.87846
22 10.9875 50.1656 78.9875 1.89544
22.1 11.0375 50.1485 78.9375 1.9125
22.2 11.0874 50.1314 78.8874 1.92963
22.3 11.1374 50.1142 78.8373 1.94683
22.4 11.1873 50.0969 78.7873 1.9641
22.5 11.2373 50.0795 78.7372 1.98145
22.6 11.2872 50.0621 78.6872 1.99888
22.7 11.3371 50.0446 78.6371 2.01637
22.8 11.3871 50.0271 78.5871 2.03394
22.9 11.437 50.0094 78.537 2.05158
23 11.487 49.9917 78.487 2.0693
23.1 11.5369 49.9739 78.4369 2.08709
23.2 11.5869 49.9561 78.3869 2.10495
23.3 11.6368 49.9381 78.3368 2.12288
23.4 11.6868 49.9201 78.2868 2.14089
23.5 11.7367 49.902 78.2367 2.15897
23.6 11.7867 49.8839 78.1867 2.17712
23.7 11.8366 49.8657 78.1366 2.19534
23.8 11.8866 49.8474 78.0865 2.21364
23.9 11.9365 49.829 78.0365 2.23201
24 11.9865 49.8105 77.9864 2.25045
24.1 12.0364 49.792 77.9364 2.26897
24.2 12.0863 49.7734 77.8863 2.28756
24.3 12.1363 49.7548 77.8363 2.30622
24.4 12.1862 49.7361 77.7862 2.32495
