#x,y,z,charge
-17.1788 -15.5519 25.2 91.8
17.1788 15.5519 25.2 117.6
22.0871 18.4534 28 355.9
22.0871 15.5519 28 888.45
24.5412 14.2027 28 386.4
19.6329 19.8025 28 87.3
19.6329 14.2027 28 571.55
24.5412 19.8025 30.8 472.4
26.9953 15.5519 30.8 349.8
29.4494 14.2027 30.8 74.35
-22.0871 -24.0532 30.8 222.45
-19.6329 -19.8025 30.8 155.6
26.9953 18.4534 30.8 895.2
24.5412 22.704 30.8 108.4
-17.1788 -18.4534 30.8 347.25
-19.6329 -22.704 33.6 509.45
29.4494 22.704 33.6 624.75
-24.5412 -28.3038 33.6 291.35
29.4494 19.8025 33.6 935.8
31.9035 18.4534 33.6 308.3
-14.7247 -19.8025 33.6 1260.4
-9.81648 -19.8025 36.4 259.1
26.9953 24.0532 36.4 113
-17.1788 -24.0532 36.4 1285.8
34.3577 19.8025 36.4 333.3
-41.72 -49.5571 36.4 80.3
34.3577 22.704 36.4 803.25
31.9035 24.0532 36.4 596.95
-22.0871 -26.9547 36.4 750.5
-12.2706 -18.4534 36.4 630.2
31.9035 26.9547 39.2 148.7
-7.36236 24.0532 39.2 1711.8
-14.7247 -22.704 39.2 1644.2
-9.81648 22.704 39.2 559.05
-2.45413 24.0532 39.2 385.15
-4.90825 22.704 39.2 583.3
-9.81648 -22.704 39.2 328.45
36.8118 24.0532 39.2 850.2
-12.2706 -24.0532 42 748.5
-12.2706 -26.9547 42 408.4
-24.5412 -31.2053 42 823.25
-1.33514e-05 28.3038 42 1278.1
4.90825 22.704 42 127.8
-1.33514e-05 22.704 42 490.15
36.8118 26.9547 42 578.45
2.4541 24.0532 42 967.1
-2.45413 26.9547 42 401.55
41.72 24.0532 42 322.05
39.2659 28.3038 42 722.75
-26.9953 -32.5545 42 422.2
34.3577 28.3038 42 139.1
-7.36236 26.9547 42 1586.3
-12.2706 24.0532 42 115.5
-49.0823 -56.7093 44.8 68.3
-12.2706 26.9547 44.8 262.85
46.6282 24.0532 44.8 88.05
46.6282 26.9547 44.8 359.05
41.72 26.9547 44.8 842.75
-14.7247 -28.3038 44.8 900.75
-17.1788 -26.9547 44.8 1799.9
-9.81648 28.3038 44.8 1315.5
2.4541 26.9547 44.8 1381.05
44.1741 28.3038 44.8 903.55
-26.9953 -35.456 44.8 757.5
-4.90825 28.3038 44.8 751.45
-29.4494 -36.8052 47.6 433.25
41.72 32.5545 47.6 237.45
122.706 39.7067 47.6 80.2
-2.45413 32.5545 47.6 310.15
44.1741 31.2053 47.6 794.6
-4.90825 31.2053 47.6 512
39.2659 31.2053 47.6 200.75
-14.7247 -31.2053 47.6 429.3
-22.0871 -32.5545 47.6 1362.6
-9.81648 31.2053 47.6 1702.35
4.90825 28.3038 47.6 468.2
-7.36237 32.5545 50.4 1528.25
-1.33514e-05 31.2053 50.4 1092.5
-2.45413 35.456 50.4 286.75
49.0824 28.3038 50.4 298.9
46.6282 32.5545 50.4 783.55
-19.6329 -31.2053 50.4 1598.4
49.0824 31.2053 50.4 789.5
4.90825 31.2053 50.4 571.55
46.6282 35.456 50.4 212.65
-31.9035 -41.0558 50.4 444.35
2.45413 32.5545 50.4 1762.35
-29.4494 -39.7067 50.4 1000.4
-24.5412 -36.8052 50.4 1177.15
-14.7247 31.2053 50.4 85.75
-4.90825 36.8052 53.2 193.45
49.0824 36.8052 53.2 238.4
51.5365 35.456 53.2 669.55
-1.14441e-05 36.8052 53.2 1172.3
-36.8118 -43.9573 53.2 114.8
51.5365 32.5545 53.2 733.5
-31.9035 -43.9573 53.2 858.65
-7.36236 35.456 53.2 1291
-17.1788 -32.5545 53.2 949.35
53.9906 31.2053 53.2 278.1
-12.2706 32.5545 53.2 770.3
-22.0871 -35.456 56 1410.95
-7.36236 66.5598 56 158.4
2.4541 35.456 56 1542.35
-19.6329 -36.8052 56 1083.8
-34.3576 -45.3065 56 470.35
-4.90825 39.7067 56 174.75
-9.81648 36.8052 56 2097.75
53.9906 39.7067 56 331.1
-12.2706 35.456 56 1102.7
112.889 48.208 56 86.5
-26.9953 -41.0558 56 1159.7
56.4447 35.456 56 758.35
56.4447 32.5545 56 280
53.9906 36.8052 56 834.5
4.90822 36.8052 56 853.5
-36.8118 -49.5571 58.8 666.45
56.4447 41.0558 58.8 326
-1.14441e-05 39.7067 58.8 857.2
58.8988 36.8052 58.8 852.05
-14.7247 36.8052 58.8 293.7
-19.6329 -39.7067 58.8 751.2
61.3529 35.456 58.8 340.25
58.8988 39.7067 58.8 739.9
56.4447 43.9573 58.8 91.75
-39.2659 -48.208 58.8 113.45
7.36234 35.456 58.8 158.75
-7.36236 41.0558 61.6 781.1
2.45411 41.0558 61.6 1605.05
-9.81648 39.7067 61.6 1804.95
-24.5412 -39.7067 61.6 1292.9
-22.0871 -41.0558 61.6 1194.7
4.90822 39.7067 61.6 1129.8
-7.36236 58.0584 61.6 101.35
-2.45413 41.0558 61.6 130.6
63.8071 36.8052 61.6 378.8
-34.3576 -48.208 61.6 1032.5
-14.7247 39.7067 61.6 480.9
61.3529 41.0558 61.6 878.35
-2.45413 43.9573 64.4 168.6
7.36237 41.0558 64.4 346.75
-9.81648 -36.8052 64.4 78.95
61.3529 43.9573 64.4 316.75
-41.72 -52.4586 64.4 116.8
-7.36236 43.9573 64.4 486.85
66.2612 41.0558 64.4 793.7
-39.2659 -53.8078 64.4 646.4
-1.14441e-05 45.3065 64.4 573.75
12.2706 120.469 64.4 70.8
-12.2706 41.0558 64.4 1868.05
63.8071 39.7067 64.4 699.95
63.8071 45.3065 67.2 420.65
