#kinematics calculation of gsgs
#vertex z = 500 mm, E_reaction = 38.084 MeV
#theta_cm, theta3_lab, Ek3_lab, theta4_lab, Ek4_lab
0 0 38.084 180 0
0.1 0.0499575 38.084 89.95 2.90026e-05
0.2 0.0999149 38.0839 89.8999 0.00011601
0.3 0.149872 38.0837 89.8499 0.000261023
0.4 0.19983 38.0835 89.7998 0.00046404
0.5 0.249787 38.0833 89.7498 0.000725061
0.6 0.299745 38.083 89.6997 0.00104408
0.7 0.349702 38.0826 89.6497 0.00142111
0.8 0.39966 38.0821 89.5997 0.00185614
0.9 0.449617 38.0817 89.5496 0.00234916
1 0.499575 38.0811 89.4996 0.00290019
1.1 0.549532 38.0805 89.4495 0.00350921
1.2 0.599489 38.0798 89.3995 0.00417623
1.3 0.649447 38.0791 89.3494 0.00490123
1.4 0.699404 38.0783 89.2994 0.00568423
1.5 0.749362 38.0775 89.2494 0.00652522
1.6 0.799319 38.0766 89.1993 0.00742419
1.7 0.849277 38.0756 89.1493 0.00838114
1.8 0.899234 38.0746 89.0992 0.00939608
1.9 0.949192 38.0735 89.0492 0.010469
2 0.999149 38.0724 88.9991 0.0115999
2.1 1.04911 38.0712 88.9491 0.0127887
2.2 1.09906 38.07 88.8991 0.0140355
2.3 1.14902 38.0687 88.849 0.0153403
2.4 1.19898 38.0673 88.799 0.0167031
2.5 1.24894 38.0659 88.7489 0.0181238
2.6 1.29889 38.0644 88.6989 0.0196024
2.7 1.34885 38.0629 88.6489 0.021139
2.8 1.39881 38.0613 88.5988 0.0227335
2.9 1.44877 38.0596 88.5488 0.024386
3 1.49872 38.0579 88.4987 0.0260964
3.1 1.54868 38.0561 88.4487 0.0278647
3.2 1.59864 38.0543 88.3986 0.029691
3.3 1.6486 38.0524 88.3486 0.0315751
3.4 1.69855 38.0505 88.2986 0.0335172
3.5 1.74851 38.0485 88.2485 0.0355172
3.6 1.79847 38.0464 88.1985 0.037575
3.7 1.84843 38.0443 88.1484 0.0396908
3.8 1.89838 38.0421 88.0984 0.0418644
3.9 1.94834 38.0399 88.0483 0.044096
4 1.9983 38.0376 87.9983 0.0463854
4.1 2.04826 38.0353 87.9483 0.0487326
4.2 2.09821 38.0329 87.8982 0.0511377
4.3 2.14817 38.0304 87.8482 0.0536007
4.4 2.19813 38.0279 87.7981 0.0561215
4.5 2.24809 38.0253 87.7481 0.0587001
4.6 2.29804 38.0227 87.698 0.0613366
4.7 2.348 38.02 87.648 0.0640309
4.8 2.39796 38.0172 87.598 0.066783
4.9 2.44792 38.0144 87.5479 0.0695929
5 2.49788 38.0115 87.4979 0.0724606
5.1 2.54783 38.0086 87.4478 0.075386
5.2 2.59779 38.0056 87.3978 0.0783693
5.3 2.64775 38.0026 87.3477 0.0814103
5.4 2.69771 37.9995 87.2977 0.0845091
5.5 2.74766 37.9963 87.2477 0.0876656
5.6 2.79762 37.9931 87.1976 0.0908798
5.7 2.84758 37.9898 87.1476 0.0941518
5.8 2.89754 37.9865 87.0975 0.0974815
5.9 2.94749 37.9831 87.0475 0.100869
6 2.99745 37.9797 86.9974 0.104314
6.1 3.04741 37.9762 86.9474 0.107817
6.2 3.09737 37.9726 86.8974 0.111377
6.3 3.14733 37.969 86.8473 0.114995
6.4 3.19728 37.9653 86.7973 0.118671
6.5 3.24724 37.9616 86.7472 0.122405
6.6 3.2972 37.9578 86.6972 0.126196
6.7 3.34716 37.954 86.6472 0.130044
6.8 3.39711 37.95 86.5971 0.133951
6.9 3.44707 37.9461 86.5471 0.137915
7 3.49703 37.9421 86.497 0.141936
7.1 3.54699 37.938 86.447 0.146015
7.2 3.59694 37.9338 86.3969 0.150152
7.3 3.6469 37.9297 86.3469 0.154346
7.4 3.69686 37.9254 86.2969 0.158598
7.5 3.74682 37.9211 86.2468 0.162907
7.6 3.79678 37.9167 86.1968 0.167274
7.7 3.84673 37.9123 86.1467 0.171698
7.8 3.89669 37.9078 86.0967 0.17618
7.9 3.94665 37.9033 86.0466 0.180719
8 3.99661 37.8987 85.9966 0.185315
8.1 4.04657 37.894 85.9466 0.18997
8.2 4.09652 37.8893 85.8965 0.194681
8.3 4.14648 37.8846 85.8465 0.19945
8.4 4.19644 37.8797 85.7964 0.204276
8.5 4.2464 37.8748 85.7464 0.20916
8.6 4.29635 37.8699 85.6964 0.214101
8.7 4.34631 37.8649 85.6463 0.219099
8.8 4.39627 37.8598 85.5963 0.224155
8.9 4.44623 37.8547 85.5462 0.229268
9 4.49619 37.8496 85.4962 0.234439
9.1 4.54614 37.8443 85.4461 0.239666
9.2 4.5961 37.839 85.3961 0.244951
9.3 4.64606 37.8337 85.3461 0.250293
9.4 4.69602 37.8283 85.296 0.255693
9.5 4.74598 37.8229 85.246 0.26115
9.6 4.79593 37.8173 85.1959 0.266663
9.7 4.84589 37.8118 85.1459 0.272235
9.8 4.89585 37.8061 85.0958 0.277863
9.9 4.94581 37.8005 85.0458 0.283548
10 4.99577 37.7947 84.9958 0.289291
10.1 5.04573 37.7889 84.9457 0.29509
10.2 5.09568 37.7831 84.8957 0.300947
10.3 5.14564 37.7771 84.8456 0.306861
10.4 5.1956 37.7712 84.7956 0.312832
10.5 5.24556 37.7651 84.7456 0.31886
10.6 5.29552 37.7591 84.6955 0.324945
10.7 5.34547 37.7529 84.6455 0.331087
10.8 5.39543 37.7467 84.5954 0.337286
10.9 5.44539 37.7405 84.5454 0.343542
11 5.49535 37.7341 84.4953 0.349855
11.1 5.54531 37.7278 84.4453 0.356225
11.2 5.59527 37.7213 84.3953 0.362652
11.3 5.64522 37.7149 84.3452 0.369136
11.4 5.69518 37.7083 84.2952 0.375676
