#kinematics calculation of gsgs
#vertex z = 150 mm, E_reaction = 60.949 MeV
#theta_cm, theta3_lab, Ek3_lab, theta4_lab, Ek4_lab
0 0 60.949 180 1.81899e-12
0.1 0.049932 60.949 89.9499 4.64153e-05
0.2 0.0998639 60.9488 89.8999 0.000185661
0.3 0.149796 60.9486 89.8498 0.000417737
0.4 0.199728 60.9483 89.7997 0.000742642
0.5 0.24966 60.9478 89.7497 0.00116038
0.6 0.299592 60.9473 89.6996 0.00167094
0.7 0.349524 60.9467 89.6495 0.00227432
0.8 0.399456 60.946 89.5995 0.00297053
0.9 0.449388 60.9452 89.5494 0.00375956
1 0.49932 60.9444 89.4993 0.00464141
1.1 0.549252 60.9434 89.4493 0.00561608
1.2 0.599184 60.9423 89.3992 0.00668356
1.3 0.649116 60.9412 89.3491 0.00784385
1.4 0.699048 60.9399 89.299 0.00909695
1.5 0.74898 60.9386 89.249 0.0104429
1.6 0.798912 60.9371 89.1989 0.0118815
1.7 0.848844 60.9356 89.1488 0.013413
1.8 0.898776 60.934 89.0988 0.0150373
1.9 0.948708 60.9322 89.0487 0.0167544
2 0.99864 60.9304 88.9986 0.0185642
2.1 1.04857 60.9285 88.9486 0.0204669
2.2 1.0985 60.9265 88.8985 0.0224623
2.3 1.14844 60.9244 88.8484 0.0245504
2.4 1.19837 60.9223 88.7984 0.0267313
2.5 1.2483 60.92 88.7483 0.029005
2.6 1.29823 60.9176 88.6982 0.0313714
2.7 1.34816 60.9152 88.6482 0.0338305
2.8 1.3981 60.9126 88.5981 0.0363824
2.9 1.44803 60.91 88.548 0.0390269
3 1.49796 60.9072 88.498 0.0417642
3.1 1.54789 60.9044 88.4479 0.0445942
3.2 1.59782 60.9015 88.3978 0.0475169
3.3 1.64776 60.8985 88.3478 0.0505323
3.4 1.69769 60.8954 88.2977 0.0536404
3.5 1.74762 60.8922 88.2476 0.0568411
3.6 1.79755 60.8889 88.1975 0.0601345
3.7 1.84748 60.8855 88.1475 0.0635205
3.8 1.89742 60.882 88.0974 0.0669992
3.9 1.94735 60.8784 88.0473 0.0705704
4 1.99728 60.8748 87.9973 0.0742344
4.1 2.04721 60.871 87.9472 0.0779909
4.2 2.09714 60.8672 87.8971 0.08184
4.3 2.14708 60.8632 87.8471 0.0857816
4.4 2.19701 60.8592 87.797 0.0898159
4.5 2.24694 60.8551 87.7469 0.0939427
4.6 2.29687 60.8508 87.6969 0.0981621
4.7 2.34681 60.8465 87.6468 0.102474
4.8 2.39674 60.8421 87.5967 0.106878
4.9 2.44667 60.8376 87.5467 0.111375
5 2.4966 60.833 87.4966 0.115965
5.1 2.54653 60.8284 87.4465 0.120647
5.2 2.59647 60.8236 87.3965 0.125421
5.3 2.6464 60.8187 87.3464 0.130288
5.4 2.69633 60.8138 87.2963 0.135247
5.5 2.74626 60.8087 87.2463 0.140299
5.6 2.7962 60.8036 87.1962 0.145443
5.7 2.84613 60.7983 87.1461 0.150679
5.8 2.89606 60.793 87.0961 0.156008
5.9 2.94599 60.7876 87.046 0.161429
6 2.99593 60.7821 86.9959 0.166942
6.1 3.04586 60.7765 86.9459 0.172548
