#kinematics calculation of gsex
#vertex z = 250 mm, E_reaction = 55.105 MeV
#theta_cm, theta3_lab, Ek3_lab, theta4_lab, Ek4_lab
0 0 50.5669 0 0.098144
0.1 0.0477508 50.5668 1.08474 0.0981825
0.2 0.0955016 50.5667 2.16859 0.0982978
0.3 0.143252 50.5665 3.25067 0.0984899
0.4 0.191003 50.5662 4.33011 0.098759
0.5 0.238754 50.5659 5.40603 0.0991049
0.6 0.286505 50.5655 6.4776 0.0995277
0.7 0.334255 50.565 7.54398 0.100027
0.8 0.382006 50.5644 8.60438 0.100604
0.9 0.429757 50.5637 9.658 0.101257
1 0.477507 50.563 10.7041 0.101987
1.1 0.525258 50.5622 11.742 0.102794
1.2 0.573009 50.5613 12.771 0.103678
1.3 0.620759 50.5604 13.7904 0.104639
1.4 0.66851 50.5593 14.7997 0.105677
1.5 0.71626 50.5582 15.7982 0.106791
1.6 0.764011 50.557 16.7855 0.107983
1.7 0.811761 50.5557 17.761 0.109251
1.8 0.859511 50.5544 18.7243 0.110596
1.9 0.907261 50.553 19.6751 0.112018
2 0.955012 50.5515 20.6129 0.113516
2.1 1.00276 50.5499 21.5374 0.115092
2.2 1.05051 50.5483 22.4483 0.116744
2.3 1.09826 50.5465 23.3454 0.118473
2.4 1.14601 50.5447 24.2285 0.120279
2.5 1.19376 50.5428 25.0974 0.122162
2.6 1.24151 50.5409 25.952 0.124121
2.7 1.28926 50.5388 26.7921 0.126158
2.8 1.33701 50.5367 27.6177 0.128271
2.9 1.38476 50.5345 28.4287 0.130461
3 1.43251 50.5323 29.2252 0.132727
3.1 1.48026 50.5299 30.0071 0.135071
3.2 1.52801 50.5275 30.7744 0.137491
3.3 1.57576 50.525 31.5273 0.139988
3.4 1.62351 50.5224 32.2657 0.142562
3.5 1.67126 50.5198 32.9899 0.145212
3.6 1.719 50.5171 33.6998 0.147939
3.7 1.76675 50.5143 34.3957 0.150743
3.8 1.8145 50.5114 35.0776 0.153624
3.9 1.86225 50.5084 35.7458 0.156581
4 1.91 50.5054 36.4003 0.159615
4.1 1.95775 50.5023 37.0414 0.162725
4.2 2.00549 50.4991 37.6693 0.165913
4.3 2.05324 50.4958 38.2841 0.169177
4.4 2.10099 50.4925 38.8861 0.172517
4.5 2.14874 50.4891 39.4754 0.175934
4.6 2.19649 50.4856 40.0523 0.179428
4.7 2.24423 50.482 40.6169 0.182999
4.8 2.29198 50.4784 41.1696 0.186646
4.9 2.33973 50.4746 41.7105 0.19037
5 2.38747 50.4708 42.2398 0.19417
5.1 2.43522 50.467 42.7578 0.198047
5.2 2.48297 50.463 43.2646 0.202
5.3 2.53071 50.459 43.7606 0.20603
5.4 2.57846 50.4549 44.2459 0.210137
5.5 2.62621 50.4507 44.7207 0.21432
5.6 2.67395 50.4464 45.1853 0.21858
5.7 2.7217 50.4421 45.6398 0.222916
5.8 2.76944 50.4377 46.0846 0.227328
5.9 2.81719 50.4332 46.5198 0.231817
6 2.86493 50.4286 46.9456 0.236383
6.1 2.91268 50.424 47.3622 0.241025
6.2 2.96042 50.4193 47.7698 0.245743
6.3 3.00817 50.4145 48.1687 0.250538
6.4 3.05591 50.4096 48.5589 0.255409
6.5 3.10366 50.4046 48.9408 0.260357
6.6 3.1514 50.3996 49.3146 0.265381
6.7 3.19914 50.3945 49.6803 0.270481
6.8 3.24689 50.3893 50.0381 0.275658
6.9 3.29463 50.3841 50.3884 0.280911
7 3.34237 50.3788 50.7311 0.28624
7.1 3.39012 50.3734 51.0666 0.291646
7.2 3.43786 50.3679 51.3949 0.297128
7.3 3.4856 50.3623 51.7163 0.302686
7.4 3.53334 50.3567 52.0309 0.308321
7.5 3.58109 50.351 52.3388 0.314031
7.6 3.62883 50.3452 52.6402 0.319818
7.7 3.67657 50.3393 52.9353 0.325681
7.8 3.72431 50.3334 53.2242 0.33162
7.9 3.77205 50.3274 53.507 0.337636
8 3.81979 50.3213 53.7839 0.343727
8.1 3.86753 50.3151 54.0551 0.349895
8.2 3.91527 50.3089 54.3206 0.356139
8.3 3.96301 50.3025 54.5805 0.362459
8.4 4.01075 50.2961 54.8351 0.368855
8.5 4.05849 50.2897 55.0844 0.375326
8.6 4.10623 50.2831 55.3286 0.381874
8.7 4.15397 50.2765 55.5677 0.388498
8.8 4.20171 50.2698 55.8019 0.395198
