#kinematics calculation of exex
#vertex z = 100 mm, E_reaction = 63.727 MeV
#theta_cm, theta3_lab, Ek3_lab, theta4_lab, Ek4_lab
0 0 54.4841 0 0.362854
0.1 0.0458592 54.4841 0.562604 0.362896
0.2 0.0917184 54.484 1.12507 0.363019
0.3 0.137578 54.4838 1.68725 0.363225
0.4 0.183437 54.4835 2.24902 0.363514
0.5 0.229296 54.4831 2.81024 0.363885
0.6 0.275155 54.4827 3.37076 0.364338
0.7 0.321014 54.4821 3.93046 0.364874
0.8 0.366873 54.4815 4.48919 0.365492
0.9 0.412732 54.4808 5.04682 0.366193
1 0.458591 54.48 5.60323 0.366976
1.1 0.50445 54.4792 6.15827 0.367841
1.2 0.550309 54.4782 6.71183 0.368789
1.3 0.596168 54.4772 7.26376 0.36982
1.4 0.642026 54.4761 7.81396 0.370932
1.5 0.687885 54.4749 8.36229 0.372127
1.6 0.733743 54.4736 8.90864 0.373405
1.7 0.779602 54.4722 9.45288 0.374765
1.8 0.82546 54.4708 9.99491 0.376207
1.9 0.871318 54.4693 10.5346 0.377732
2 0.917176 54.4677 11.0719 0.379339
2.1 0.963034 54.466 11.6066 0.381028
2.2 1.00889 54.4642 12.1386 0.3828
2.3 1.05475 54.4623 12.6679 0.384655
2.4 1.10061 54.4604 13.1944 0.386591
2.5 1.14646 54.4584 13.7179 0.38861
2.6 1.19232 54.4563 14.2384 0.390711
2.7 1.23818 54.4541 14.7558 0.392895
2.8 1.28404 54.4518 15.27 0.395161
2.9 1.32989 54.4495 15.7808 0.397509
3 1.37575 54.4471 16.2884 0.39994
3.1 1.42161 54.4445 16.7924 0.402453
3.2 1.46746 54.442 17.293 0.405048
3.3 1.51332 54.4393 17.79 0.407726
3.4 1.55917 54.4365 18.2834 0.410486
3.5 1.60503 54.4337 18.7731 0.413328
3.6 1.65088 54.4307 19.259 0.416252
3.7 1.69674 54.4277 19.7411 0.419259
3.8 1.7426 54.4247 20.2194 0.422348
3.9 1.78845 54.4215 20.6937 0.425519
4 1.8343 54.4182 21.1642 0.428773
4.1 1.88016 54.4149 21.6306 0.432108
4.2 1.92601 54.4115 22.093 0.435526
4.3 1.97187 54.408 22.5514 0.439026
4.4 2.01772 54.4044 23.0057 0.442609
4.5 2.06357 54.4007 23.4558 0.446273
4.6 2.10943 54.397 23.9018 0.45002
4.7 2.15528 54.3932 24.3437 0.453849
4.8 2.20113 54.3892 24.7814 0.45776
4.9 2.24698 54.3852 25.2149 0.461753
5 2.29284 54.3812 25.6442 0.465828
5.1 2.33869 54.377 26.0693 0.469986
5.2 2.38454 54.3728 26.4901 0.474225
5.3 2.43039 54.3685 26.9068 0.478547
5.4 2.47624 54.364 27.3192 0.48295
5.5 2.52209 54.3596 27.7273 0.487436
5.6 2.56794 54.355 28.1312 0.492004
5.7 2.61379 54.3503 28.5309 0.496654
5.8 2.65964 54.3456 28.9264 0.501386
5.9 2.70549 54.3408 29.3176 0.5062
6 2.75134 54.3359 29.7046 0.511095
6.1 2.79719 54.3309 30.0874 0.516073
6.2 2.84303 54.3259 30.4661 0.521133
6.3 2.88888 54.3207 30.8405 0.526275
6.4 2.93473 54.3155 31.2108 0.531499
6.5 2.98057 54.3102 31.577 0.536804
6.6 3.02642 54.3048 31.939 0.542192
6.7 3.07227 54.2993 32.2969 0.547661
6.8 3.11811 54.2938 32.6508 0.553212
6.9 3.16396 54.2882 33.0005 0.558845
7 3.2098 54.2824 33.3463 0.56456
7.1 3.25565 54.2766 33.688 0.570357
7.2 3.30149 54.2708 34.0257 0.576236
7.3 3.34733 54.2648 34.3595 0.582196
7.4 3.39318 54.2588 34.6893 0.588238
7.5 3.43902 54.2526 35.0153 0.594362
7.6 3.48486 54.2464 35.3373 0.600568
7.7 3.5307 54.2401 35.6555 0.606855
7.8 3.57654 54.2338 35.9699 0.613224
7.9 3.62238 54.2273 36.2805 0.619674
8 3.66822 54.2208 36.5873 0.626207
8.1 3.71406 54.2142 36.8904 0.632821
8.2 3.7599 54.2075 37.1898 0.639516
8.3 3.80574 54.2007 37.4856 0.646293
8.4 3.85158 54.1938 37.7777 0.653152
8.5 3.89742 54.1869 38.0662 0.660092
8.6 3.94326 54.1799 38.3512 0.667114
8.7 3.98909 54.1728 38.6326 0.674217
8.8 4.03493 54.1656 38.9105 0.681402
8.9 4.08076 54.1583 39.185 0.688668
9 4.1266 54.151 39.4561 0.696016
9.1 4.17243 54.1436 39.7237 0.703445
9.2 4.21827 54.136 39.988 0.710955
9.3 4.2641 54.1285 40.249 0.718547
9.4 4.30993 54.1208 40.5067 0.72622
9.5 4.35577 54.113 40.7612 0.733975
9.6 4.4016 54.1052 41.0124 0.741811
9.7 4.44743 54.0973 41.2605 0.749728
9.8 4.49326 54.0893 41.5054 0.757726
9.9 4.53909 54.0812 41.7471 0.765806
10 4.58492 54.073 41.9859 0.773966
10.1 4.63075 54.0648 42.2215 0.782208
10.2 4.67658 54.0565 42.4542 0.790531
10.3 4.7224 54.0481 42.6839 0.798936
10.4 4.76823 54.0396 42.9106 0.807421
10.5 4.81406 54.031 43.1344 0.815987
10.6 4.85988 54.0224 43.3554 0.824635
10.7 4.90571 54.0136 43.5735 0.833363
10.8 4.95153 54.0048 43.7888 0.842173
10.9 4.99736 53.9959 44.0014 0.851063
11 5.04318 53.987 44.2112 0.860035
11.1 5.089 53.9779 44.4183 0.869087
11.2 5.13482 53.9688 44.6227 0.87822
11.3 5.18064 53.9596 44.8244 0.887434
11.4 5.22646 53.9503 45.0236 0.896729
11.5 5.27228 53.9409 45.2202 0.906105
11.6 5.3181 53.9314 45.4142 0.915561
11.7 5.36392 53.9219 45.6057 0.925099
11.8 5.40974 53.9123 45.7947 0.934716
11.9 5.45556 53.9026 45.9813 0.944415
12 5.50137 53.8928 46.1654 0.954194
12.1 5.54719 53.8829 46.3471 0.964054
