#theta_cm, theta3_lab, Ek3_lab, theta4_deg, Ek4_lab
0 0 244.811 0 225.649
0.1 7.24652 239 3.73772 231.46
0.2 14.432 222.136 6.87295 248.324
0.3 21.4777 195.869 9.00627 274.591
0.4 28.2623 162.771 10.0042 307.689
0.5 34.5762 126.082 9.93421 344.379
0.6 40.0193 89.3921 8.96608 381.068
0.7 43.7342 56.294 7.30053 414.166
0.8 43.5758 30.0273 5.13356 440.433
0.9 33.2411 13.163 2.64506 457.297
1 1.66633e-14 7.35196 1.04115e-15 463.108
1.1 146.759 13.163 177.355 457.297
1.2 136.424 30.0273 174.866 440.433
1.3 136.266 56.294 172.699 414.166
1.4 139.981 89.3921 171.034 381.068
1.5 145.424 126.082 170.066 344.379
1.6 151.738 162.771 169.996 307.689
1.7 158.522 195.869 170.994 274.591
1.8 165.568 222.136 173.127 248.324
1.9 172.753 239 176.262 231.46
2 180 244.811 180 225.649
2.1 7.24652 239 3.73772 231.46
2.2 14.432 222.136 6.87295 248.324
2.3 21.4777 195.869 9.00627 274.591
2.4 28.2623 162.771 10.0042 307.689
2.5 34.5762 126.082 9.93421 344.379
2.6 40.0193 89.3921 8.96608 381.068
2.7 43.7342 56.294 7.30053 414.166
2.8 43.5758 30.0273 5.13356 440.433
2.9 33.2411 13.163 2.64506 457.297
3 4.999e-14 7.35196 3.12345e-15 463.108
3.1 146.759 13.163 177.355 457.297
3.2 136.424 30.0273 174.866 440.433
3.3 136.266 56.294 172.699 414.166
3.4 139.981 89.3921 171.034 381.068
3.5 145.424 126.082 170.066 344.379
3.6 151.738 162.771 169.996 307.689
3.7 158.522 195.869 170.994 274.591
3.8 165.568 222.136 173.127 248.324
3.9 172.753 239 176.262 231.46
4 180 244.811 180 225.649
4.1 7.24652 239 3.73772 231.46
4.2 14.432 222.136 6.87295 248.324
4.3 21.4777 195.869 9.00627 274.591
4.4 28.2623 162.771 10.0042 307.689
4.5 34.5762 126.082 9.93421 344.379
4.6 40.0193 89.3921 8.96608 381.068
4.7 43.7342 56.294 7.30053 414.166
4.8 43.5758 30.0273 5.13356 440.433
4.9 33.2411 13.163 2.64506 457.297
5 8.33166e-14 7.35196 5.20574e-15 463.108
5.1 146.759 13.163 177.355 457.297
5.2 136.424 30.0273 174.866 440.433
5.3 136.266 56.294 172.699 414.166
5.4 139.981 89.3921 171.034 381.068
5.5 145.424 126.082 170.066 344.379
5.6 151.738 162.771 169.996 307.689
5.7 158.522 195.869 170.994 274.591
5.8 165.568 222.136 173.127 248.324
5.9 172.753 239 176.262 231.46
6 180 244.811 180 225.649
6.1 7.24652 239 3.73772 231.46
6.2 14.432 222.136 6.87295 248.324
6.3 21.4777 195.869 9.00627 274.591
6.4 28.2623 162.771 10.0042 307.689
6.5 34.5762 126.082 9.93421 344.379
6.6 40.0193 89.3921 8.96608 381.068
6.7 43.7342 56.294 7.30053 414.166
6.8 43.5758 30.0273 5.13356 440.433
6.9 33.2411 13.163 2.64506 457.297
7 1.16643e-13 7.35196 7.28804e-15 463.108
7.1 146.759 13.163 177.355 457.297
7.2 136.424 30.0273 174.866 440.433
7.3 136.266 56.294 172.699 414.166
7.4 139.981 89.3921 171.034 381.068
7.5 145.424 126.082 170.066 344.379
7.6 151.738 162.771 169.996 307.689
7.7 158.522 195.869 170.994 274.591
7.8 165.568 222.136 173.127 248.324
7.9 172.753 239 176.262 231.46
8 180 244.811 180 225.649
8.1 7.24652 239 3.73772 231.46
8.2 14.432 222.136 6.87295 248.324
8.3 21.4777 195.869 9.00627 274.591
8.4 28.2623 162.771 10.0042 307.689
8.5 34.5762 126.082 9.93421 344.379
8.6 40.0193 89.3921 8.96608 381.068
8.7 43.7342 56.294 7.30053 414.166
8.8 43.5758 30.0273 5.13356 440.433
8.9 33.2411 13.163 2.64506 457.297
9 1.4997e-13 7.35196 9.37034e-15 463.108
9.1 146.759 13.163 177.355 457.297
9.2 136.424 30.0273 174.866 440.433
9.3 136.266 56.294 172.699 414.166
9.4 139.981 89.3921 171.034 381.068
9.5 145.424 126.082 170.066 344.379
9.6 151.738 162.771 169.996 307.689
9.7 158.522 195.869 170.994 274.591
9.8 165.568 222.136 173.127 248.324
9.9 172.753 239 176.262 231.46
10 180 244.811 180 225.649
10.1 7.24652 239 3.73772 231.46
10.2 14.432 222.136 6.87295 248.324
10.3 21.4777 195.869 9.00627 274.591
10.4 28.2623 162.771 10.0042 307.689
10.5 34.5762 126.082 9.93421 344.379
10.6 40.0193 89.3921 8.96608 381.068
10.7 43.7342 56.294 7.30053 414.166
10.8 43.5758 30.0273 5.13356 440.433
10.9 33.2411 13.163 2.64506 457.297
11 6.66702e-13 7.35196 4.16565e-14 463.108
11.1 146.759 13.163 177.355 457.297
11.2 136.424 30.0273 174.866 440.433
11.3 136.266 56.294 172.699 414.166
11.4 139.981 89.3921 171.034 381.068
11.5 145.424 126.082 170.066 344.379
11.6 151.738 162.771 169.996 307.689
11.7 158.522 195.869 170.994 274.591
11.8 165.568 222.136 173.127 248.324
11.9 172.753 239 176.262 231.46
12 180 244.811 180 225.649
12.1 7.24652 239 3.73772 231.46
12.2 14.432 222.136 6.87295 248.324
12.3 21.4777 195.869 9.00627 274.591
12.4 28.2623 162.771 10.0042 307.689
12.5 34.5762 126.082 9.93421 344.379
12.6 40.0193 89.3921 8.96608 381.068
12.7 43.7342 56.294 7.30053 414.166
12.8 43.5758 30.0273 5.13356 440.433
12.9 33.2411 13.163 2.64506 457.297
13 180 7.35196 180 463.108
13.1 146.759 13.163 177.355 457.297
13.2 136.424 30.0273 174.866 440.433
13.3 136.266 56.294 172.699 414.166
13.4 139.981 89.3921 171.034 381.068
13.5 145.424 126.082 170.066 344.379
13.6 151.738 162.771 169.996 307.689
13.7 158.522 195.869 170.994 274.591
13.8 165.568 222.136 173.127 248.324
13.9 172.753 239 176.262 231.46
14 180 244.811 180 225.649
14.1 7.24652 239 3.73772 231.46
14.2 14.432 222.136 6.87295 248.324
14.3 21.4777 195.869 9.00627 274.591
14.4 28.2623 162.771 10.0042 307.689
14.5 34.5762 126.082 9.93421 344.379
14.6 40.0193 89.3921 8.96608 381.068
14.7 43.7342 56.294 7.30053 414.166
14.8 43.5758 30.0273 5.13356 440.433
14.9 33.2411 13.163 2.64506 457.297
15 7.33355e-13 7.35196 4.58211e-14 463.108
15.1 146.759 13.163 177.355 457.297
15.2 136.424 30.0273 174.866 440.433
15.3 136.266 56.294 172.699 414.166
15.4 139.981 89.3921 171.034 381.068
15.5 145.424 126.082 170.066 344.379
15.6 151.738 162.771 169.996 307.689
15.7 158.522 195.869 170.994 274.591
15.8 165.568 222.136 173.127 248.324
15.9 172.753 239 176.262 231.46
16 180 244.811 180 225.649
16.1 7.24652 239 3.73772 231.46
16.2 14.432 222.136 6.87295 248.324
16.3 21.4777 195.869 9.00627 274.591
16.4 28.2623 162.771 10.0042 307.689
16.5 34.5762 126.082 9.93421 344.379
16.6 40.0193 89.3921 8.96608 381.068
16.7 43.7342 56.294 7.30053 414.166
16.8 43.5758 30.0273 5.13356 440.433
16.9 33.2411 13.163 2.64506 457.297
17 180 7.35196 180 463.108
17.1 146.759 13.163 177.355 457.297
17.2 136.424 30.0273 174.866 440.433
17.3 136.266 56.294 172.699 414.166
17.4 139.981 89.3921 171.034 381.068
17.5 145.424 126.082 170.066 344.379
17.6 151.738 162.771 169.996 307.689
17.7 158.522 195.869 170.994 274.591
17.8 165.568 222.136 173.127 248.324
17.9 172.753 239 176.262 231.46
18 180 244.811 180 225.649
18.1 7.24652 239 3.73772 231.46
18.2 14.432 222.136 6.87295 248.324
18.3 21.4777 195.869 9.00627 274.591
18.4 28.2623 162.771 10.0042 307.689
18.5 34.5762 126.082 9.93421 344.379
18.6 40.0193 89.3921 8.96608 381.068
18.7 43.7342 56.294 7.30053 414.166
18.8 43.5758 30.0273 5.13356 440.433
18.9 33.2411 13.163 2.64506 457.297
19 8.00008e-13 7.35196 4.99857e-14 463.108
19.1 146.759 13.163 177.355 457.297
19.2 136.424 30.0273 174.866 440.433
