#theta_cm, theta3_lab, Ek3_lab, theta4_deg, Ek4_lab
15 8.01156e-13 6.48516 4.68322e-14 466.675
15.1 144.664 12.447 177.296 460.713
15.2 134.723 29.749 174.75 443.411
15.3 135.033 56.6975 172.529 416.463
15.4 139.076 90.6545 170.816 382.506
15.5 144.755 128.296 169.811 344.864
15.6 151.249 165.938 169.724 307.222
15.7 158.179 199.895 170.734 273.265
15.8 165.349 226.843 172.918 246.317
15.9 172.647 244.145 176.144 229.015
16 180 250.107 180 223.053
16.1 7.35319 244.145 3.85599 229.015
16.2 14.651 226.843 7.08222 246.317
16.3 21.8212 199.895 9.26602 273.265
16.4 28.7513 165.938 10.2759 307.222
16.5 35.2449 128.296 10.1886 344.864
16.6 40.9237 90.6545 9.18413 382.506
16.7 44.9673 56.6975 7.4708 416.463
16.8 45.2774 29.749 5.24968 443.411
16.9 35.3365 12.447 2.70379 460.713
17 180 6.48516 180 466.675
17.1 144.664 12.447 177.296 460.713
17.2 134.723 29.749 174.75 443.411
17.3 135.033 56.6975 172.529 416.463
17.4 139.076 90.6545 170.816 382.506
17.5 144.755 128.296 169.811 344.864
17.6 151.249 165.938 169.724 307.222
17.7 158.179 199.895 170.734 273.265
17.8 165.349 226.843 172.918 246.317
17.9 172.647 244.145 176.144 229.015
18 180 250.107 180 223.053
18.1 7.35319 244.145 3.85599 229.015
18.2 14.651 226.843 7.08222 246.317
18.3 21.8212 199.895 9.26602 273.265
18.4 28.7513 165.938 10.2759 307.222
18.5 35.2449 128.296 10.1886 344.864
18.6 40.9237 90.6545 9.18413 382.506
18.7 44.9673 56.6975 7.4708 416.463
18.8 45.2774 29.749 5.24968 443.411
18.9 35.3365 12.447 2.70379 460.713
19 8.73971e-13 6.48516 5.10887e-14 466.675
19.1 144.664 12.447 177.296 460.713
19.2 134.723 29.749 174.75 443.411
19.3 135.033 56.6975 172.529 416.463
19.4 139.076 90.6545 170.816 382.506
19.5 144.755 128.296 169.811 344.864
19.6 151.249 165.938 169.724 307.222
19.7 158.179 199.895 170.734 273.265
19.8 165.349 226.843 172.918 246.317
19.9 172.647 244.145 176.144 229.015
20 180 250.107 180 223.053
20.1 7.35319 244.145 3.85599 229.015
20.2 14.651 226.843 7.08222 246.317
20.3 21.8212 199.895 9.26602 273.265
20.4 28.7513 165.938 10.2759 307.222
20.5 35.2449 128.296 10.1886 344.864
20.6 40.9237 90.6545 9.18413 382.506
20.7 44.9673 56.6975 7.4708 416.463
20.8 45.2774 29.749 5.24968 443.411
20.9 35.3365 12.447 2.70379 460.713
21 180 6.48516 180 466.675
21.1 144.664 12.447 177.296 460.713
21.2 134.723 29.749 174.75 443.411
21.3 135.033 56.6975 172.529 416.463
21.4 139.076 90.6545 170.816 382.506
21.5 144.755 128.296 169.811 344.864
21.6 151.249 165.938 169.724 307.222
21.7 158.179 199.895 170.734 273.265
21.8 165.349 226.843 172.918 246.317
21.9 172.647 244.145 176.144 229.015
22 180 250.107 180 223.053
22.1 7.35319 244.145 3.85599 229.015
22.2 14.651 226.843 7.08222 246.317
22.3 21.8212 199.895 9.26602 273.265
22.4 28.7513 165.938 10.2759 307.222
22.5 35.2449 128.296 10.1886 344.864
22.6 40.9237 90.6545 9.18413 382.506
22.7 44.9673 56.6975 7.4708 416.463
22.8 45.2774 29.749 5.24968 443.411
22.9 35.3365 12.447 2.70379 460.713
23 9.46787e-13 6.48516 5.53452e-14 466.675
23.1 144.664 12.447 177.296 460.713
23.2 134.723 29.749 174.75 443.411
23.3 135.033 56.6975 172.529 416.463
23.4 139.076 90.6545 170.816 382.506
23.5 144.755 128.296 169.811 344.864
23.6 151.249 165.938 169.724 307.222
23.7 158.179 199.895 170.734 273.265
23.8 165.349 226.843 172.918 246.317
23.9 172.647 244.145 176.144 229.015
24 180 250.107 180 223.053
24.1 7.35319 244.145 3.85599 229.015
24.2 14.651 226.843 7.08222 246.317
24.3 21.8212 199.895 9.26602 273.265
24.4 28.7513 165.938 10.2759 307.222
24.5 35.2449 128.296 10.1886 344.864
24.6 40.9237 90.6545 9.18413 382.506
24.7 44.9673 56.6975 7.4708 416.463
24.8 45.2774 29.749 5.24968 443.411
24.9 35.3365 12.447 2.70379 460.713
25 180 6.48516 180 466.675
25.1 144.664 12.447 177.296 460.713
25.2 134.723 29.749 174.75 443.411
25.3 135.033 56.6975 172.529 416.463
25.4 139.076 90.6545 170.816 382.506
25.5 144.755 128.296 169.811 344.864
25.6 151.249 165.938 169.724 307.222
25.7 158.179 199.895 170.734 273.265
25.8 165.349 226.843 172.918 246.317
25.9 172.647 244.145 176.144 229.015
26 9.18917e-14 250.107 4.95502e-14 223.053
26.1 7.35319 244.145 3.85599 229.015
26.2 14.651 226.843 7.08222 246.317
26.3 21.8212 199.895 9.26602 273.265
26.4 28.7513 165.938 10.2759 307.222
26.5 35.2449 128.296 10.1886 344.864
26.6 40.9237 90.6545 9.18413 382.506
26.7 44.9673 56.6975 7.4708 416.463
26.8 45.2774 29.749 5.24968 443.411
26.9 35.3365 12.447 2.70379 460.713
27 1.0196e-12 6.48516 5.96017e-14 466.675
27.1 144.664 12.447 177.296 460.713
27.2 134.723 29.749 174.75 443.411
27.3 135.033 56.6975 172.529 416.463
27.4 139.076 90.6545 170.816 382.506
27.5 144.755 128.296 169.811 344.864
27.6 151.249 165.938 169.724 307.222
27.7 158.179 199.895 170.734 273.265
27.8 165.349 226.843 172.918 246.317
27.9 172.647 244.145 176.144 229.015
28 180 250.107 180 223.053
28.1 7.35319 244.145 3.85599 229.015
28.2 14.651 226.843 7.08222 246.317
28.3 21.8212 199.895 9.26602 273.265
28.4 28.7513 165.938 10.2759 307.222
28.5 35.2449 128.296 10.1886 344.864
28.6 40.9237 90.6545 9.18413 382.506
28.7 44.9673 56.6975 7.4708 416.463
28.8 45.2774 29.749 5.24968 443.411
28.9 35.3365 12.447 2.70379 460.713
29 180 6.48516 180 466.675
29.1 144.664 12.447 177.296 460.713
29.2 134.723 29.749 174.75 443.411
29.3 135.033 56.6975 172.529 416.463
29.4 139.076 90.6545 170.816 382.506
29.5 144.755 128.296 169.811 344.864
29.6 151.249 165.938 169.724 307.222
29.7 158.179 199.895 170.734 273.265
29.8 165.349 226.843 172.918 246.317
29.9 172.647 244.145 176.144 229.015
30 180 250.107 180 223.053
30.1 7.35319 244.145 3.85599 229.015
30.2 14.651 226.843 7.08222 246.317
30.3 21.8212 199.895 9.26602 273.265
30.4 28.7513 165.938 10.2759 307.222
30.5 35.2449 128.296 10.1886 344.864
30.6 40.9237 90.6545 9.18413 382.506
30.7 44.9673 56.6975 7.4708 416.463
30.8 45.2774 29.749 5.24968 443.411
30.9 35.3365 12.447 2.70379 460.713
31 1.09242e-12 6.48516 6.38582e-14 466.675
31.1 144.664 12.447 177.296 460.713
31.2 134.723 29.749 174.75 443.411
31.3 135.033 56.6975 172.529 416.463
31.4 139.076 90.6545 170.816 382.506
31.5 144.755 128.296 169.811 344.864
31.6 151.249 165.938 169.724 307.222
31.7 158.179 199.895 170.734 273.265
31.8 165.349 226.843 172.918 246.317
31.9 172.647 244.145 176.144 229.015
32 180 250.107 180 223.053
32.1 7.35319 244.145 3.85599 229.015
32.2 14.651 226.843 7.08222 246.317
32.3 21.8212 199.895 9.26602 273.265
32.4 28.7513 165.938 10.2759 307.222
32.5 35.2449 128.296 10.1886 344.864
32.6 40.9237 90.6545 9.18413 382.506
32.7 44.9673 56.6975 7.4708 416.463
32.8 45.2774 29.749 5.24968 443.411
32.9 35.3365 12.447 2.70379 460.713
33 7.26316e-14 6.48516 4.24574e-15 466.675
33.1 144.664 12.447 177.296 460.713
33.2 134.723 29.749 174.75 443.411
33.3 135.033 56.6975 172.529 416.463
33.4 139.076 90.6545 170.816 382.506
33.5 144.755 128.296 169.811 344.864
33.6 151.249 165.938 169.724 307.222
33.7 158.179 199.895 170.734 273.265
33.8 165.349 226.843 172.918 246.317
33.9 172.647 244.145 176.144 229.015
34 6.89333e-14 250.107 3.71705e-14 223.053
34.1 7.35319 244.145 3.85599 229.015
34.2 14.651 226.843 7.08222 246.317
34.3 21.8212 199.895 9.26602 273.265
34.4 28.7513 165.938 10.2759 307.222
34.5 35.2449 128.296 10.1886 344.864
34.6 40.9237 90.6545 9.18413 382.506
34.7 44.9673 56.6975 7.4708 416.463
34.8 45.2774 29.749 5.24968 443.411
34.9 35.3365 12.447 2.70379 460.713
35 1.16523e-12 6.48516 6.81147e-14 466.675
35.1 144.664 12.447 177.296 460.713
35.2 134.723 29.749 174.75 443.411
35.3 135.033 56.6975 172.529 416.463
35.4 139.076 90.6545 170.816 382.506
35.5 144.755 128.296 169.811 344.864
35.6 151.249 165.938 169.724 307.222
35.7 158.179 199.895 170.734 273.265
35.8 165.349 226.843 172.918 246.317
35.9 172.647 244.145 176.144 229.015
36 180 250.107 180 223.053
36.1 7.35319 244.145 3.85599 229.015
36.2 14.651 226.843 7.08222 246.317
36.3 21.8212 199.895 9.26602 273.265
36.4 28.7513 165.938 10.2759 307.222
36.5 35.2449 128.296 10.1886 344.864
36.6 40.9237 90.6545 9.18413 382.506
36.7 44.9673 56.6975 7.4708 416.463
36.8 45.2774 29.749 5.24968 443.411
36.9 35.3365 12.447 2.70379 460.713
37 1.45447e-13 6.48516 8.50223e-15 466.675
37.1 144.664 12.447 177.296 460.713
37.2 134.723 29.749 174.75 443.411
37.3 135.033 56.6975 172.529 416.463
37.4 139.076 90.6545 170.816 382.506
37.5 144.755 128.296 169.811 344.864
37.6 151.249 165.938 169.724 307.222
37.7 158.179 199.895 170.734 273.265
37.8 165.349 226.843 172.918 246.317
37.9 172.647 244.145 176.144 229.015
38 180 250.107 180 223.053
38.1 7.35319 244.145 3.85599 229.015
38.2 14.651 226.843 7.08222 246.317
38.3 21.8212 199.895 9.26602 273.265
38.4 28.7513 165.938 10.2759 307.222
38.5 35.2449 128.296 10.1886 344.864
38.6 40.9237 90.6545 9.18413 382.506
38.7 44.9673 56.6975 7.4708 416.463
38.8 45.2774 29.749 5.24968 443.411
38.9 35.3365 12.447 2.70379 460.713
