#theta_cm, theta3_lab, Ek3_lab, theta4_deg, Ek4_lab
15 7.45409e-13 7.1856 4.60108e-14 463.774
15.1 146.376 13.0249 177.344 457.935
15.2 136.107 29.971 174.845 440.989
15.3 136.034 56.3653 172.668 414.595
15.4 139.81 89.6241 170.993 381.336
15.5 145.298 126.492 170.018 344.468
15.6 151.645 163.359 169.945 307.601
15.7 158.458 196.618 170.945 274.342
15.8 165.527 223.012 173.088 247.948
15.9 172.733 239.959 176.24 231.002
16 180 245.798 180 225.162
16.1 7.26667 239.959 3.75974 231.002
16.2 14.4733 223.012 6.91197 247.948
16.3 21.5425 196.618 9.05476 274.342
16.4 28.3546 163.359 10.055 307.601
16.5 34.7023 126.492 9.98183 344.468
16.6 40.1896 89.6241 9.00693 381.336
16.7 43.9656 56.3653 7.33246 414.595
16.8 43.893 29.971 5.15534 440.989
16.9 33.6244 13.0249 2.65608 457.935
17 180 7.1856 180 463.774
17.1 146.376 13.0249 177.344 457.935
17.2 136.107 29.971 174.845 440.989
17.3 136.034 56.3653 172.668 414.595
17.4 139.81 89.6241 170.993 381.336
17.5 145.298 126.492 170.018 344.468
17.6 151.645 163.359 169.945 307.601
17.7 158.458 196.618 170.945 274.342
17.8 165.527 223.012 173.088 247.948
17.9 172.733 239.959 176.24 231.002
18 180 245.798 180 225.162
18.1 7.26667 239.959 3.75974 231.002
18.2 14.4733 223.012 6.91197 247.948
18.3 21.5425 196.618 9.05476 274.342
18.4 28.3546 163.359 10.055 307.601
18.5 34.7023 126.492 9.98183 344.468
18.6 40.1896 89.6241 9.00693 381.336
18.7 43.9656 56.3653 7.33246 414.595
18.8 43.893 29.971 5.15534 440.989
18.9 33.6244 13.0249 2.65608 457.935
19 8.13158e-13 7.1856 5.01927e-14 463.774
19.1 146.376 13.0249 177.344 457.935
19.2 136.107 29.971 174.845 440.989
19.3 136.034 56.3653 172.668 414.595
19.4 139.81 89.6241 170.993 381.336
19.5 145.298 126.492 170.018 344.468
19.6 151.645 163.359 169.945 307.601
19.7 158.458 196.618 170.945 274.342
19.8 165.527 223.012 173.088 247.948
19.9 172.733 239.959 176.24 231.002
20 180 245.798 180 225.162
20.1 7.26667 239.959 3.75974 231.002
20.2 14.4733 223.012 6.91197 247.948
20.3 21.5425 196.618 9.05476 274.342
20.4 28.3546 163.359 10.055 307.601
20.5 34.7023 126.492 9.98183 344.468
20.6 40.1896 89.6241 9.00693 381.336
20.7 43.9656 56.3653 7.33246 414.595
20.8 43.893 29.971 5.15534 440.989
20.9 33.6244 13.0249 2.65608 457.935
21 180 7.1856 180 463.774
21.1 146.376 13.0249 177.344 457.935
21.2 136.107 29.971 174.845 440.989
21.3 136.034 56.3653 172.668 414.595
21.4 139.81 89.6241 170.993 381.336
21.5 145.298 126.492 170.018 344.468
21.6 151.645 163.359 169.945 307.601
21.7 158.458 196.618 170.945 274.342
21.8 165.527 223.012 173.088 247.948
21.9 172.733 239.959 176.24 231.002
22 180 245.798 180 225.162
22.1 7.26667 239.959 3.75974 231.002
22.2 14.4733 223.012 6.91197 247.948
22.3 21.5425 196.618 9.05476 274.342
22.4 28.3546 163.359 10.055 307.601
22.5 34.7023 126.492 9.98183 344.468
22.6 40.1896 89.6241 9.00693 381.336
22.7 43.9656 56.3653 7.33246 414.595
22.8 43.893 29.971 5.15534 440.989
22.9 33.6244 13.0249 2.65608 457.935
23 8.80907e-13 7.1856 5.43745e-14 463.774
23.1 146.376 13.0249 177.344 457.935
23.2 136.107 29.971 174.845 440.989
23.3 136.034 56.3653 172.668 414.595
23.4 139.81 89.6241 170.993 381.336
23.5 145.298 126.492 170.018 344.468
23.6 151.645 163.359 169.945 307.601
23.7 158.458 196.618 170.945 274.342
23.8 165.527 223.012 173.088 247.948
23.9 172.733 239.959 176.24 231.002
24 180 245.798 180 225.162
24.1 7.26667 239.959 3.75974 231.002
24.2 14.4733 223.012 6.91197 247.948
24.3 21.5425 196.618 9.05476 274.342
24.4 28.3546 163.359 10.055 307.601
24.5 34.7023 126.492 9.98183 344.468
24.6 40.1896 89.6241 9.00693 381.336
24.7 43.9656 56.3653 7.33246 414.595
24.8 43.893 29.971 5.15534 440.989
24.9 33.6244 13.0249 2.65608 457.935
25 180 7.1856 180 463.774
25.1 146.376 13.0249 177.344 457.935
25.2 136.107 29.971 174.845 440.989
25.3 136.034 56.3653 172.668 414.595
25.4 139.81 89.6241 170.993 381.336
