#kinematics calculation of exex
#vertex z = 700 mm, E_reaction = 20.728 MeV
#theta_cm, theta3_lab, Ek3_lab, theta4_lab, Ek4_lab
0 0 9.84343 0 2.00457
0.1 0.0274277 9.84342 0.0607891 2.00458
0.2 0.0548553 9.8434 0.121578 2.0046
0.3 0.0822828 9.84337 0.182365 2.00463
0.4 0.10971 9.84333 0.24315 2.00467
0.5 0.137138 9.84328 0.303933 2.00472
0.6 0.164565 9.84321 0.364712 2.00479
0.7 0.191992 9.84313 0.425487 2.00487
0.8 0.219419 9.84304 0.486258 2.00496
0.9 0.246846 9.84294 0.547023 2.00506
1 0.274272 9.84283 0.607783 2.00517
1.1 0.301698 9.8427 0.668535 2.0053
1.2 0.329124 9.84257 0.729281 2.00543
1.3 0.35655 9.84242 0.790019 2.00558
1.4 0.383975 9.84226 0.850748 2.00574
1.5 0.411399 9.84208 0.911468 2.00592
1.6 0.438824 9.8419 0.972178 2.0061
1.7 0.466248 9.8417 1.03288 2.0063
1.8 0.493671 9.84149 1.09357 2.00651
1.9 0.521094 9.84127 1.15424 2.00673
2 0.548517 9.84104 1.21491 2.00696
2.1 0.575939 9.84079 1.27556 2.00721
2.2 0.60336 9.84054 1.33619 2.00746
2.3 0.630781 9.84027 1.39682 2.00773
2.4 0.658201 9.83999 1.45742 2.00801
2.5 0.68562 9.83969 1.51801 2.00831
2.6 0.713039 9.83939 1.57859 2.00861
2.7 0.740457 9.83907 1.63915 2.00893
2.8 0.767874 9.83875 1.69969 2.00925
2.9 0.795291 9.83841 1.76021 2.00959
3 0.822707 9.83805 1.82071 2.00995
3.1 0.850122 9.83769 1.8812 2.01031
3.2 0.877536 9.83731 1.94166 2.01069
3.3 0.904949 9.83693 2.0021 2.01107
3.4 0.932361 9.83653 2.06252 2.01147
3.5 0.959773 9.83611 2.12292 2.01189
3.6 0.987183 9.83569 2.18329 2.01231
3.7 1.01459 9.83526 2.24365 2.01274
3.8 1.042 9.83481 2.30397 2.01319
3.9 1.06941 9.83435 2.36428 2.01365
4 1.09681 9.83388 2.42455 2.01412
4.1 1.12422 9.83339 2.4848 2.01461
4.2 1.15162 9.8329 2.54503 2.0151
4.3 1.17903 9.83239 2.60522 2.01561
4.4 1.20643 9.83187 2.66539 2.01613
4.5 1.23383 9.83134 2.72553 2.01666
4.6 1.26123 9.8308 2.78564 2.0172
4.7 1.28863 9.83025 2.84572 2.01775
4.8 1.31602 9.82968 2.90578 2.01832
4.9 1.34342 9.8291 2.96579 2.0189
5 1.37081 9.82851 3.02578 2.01949
5.1 1.39821 9.82791 3.08574 2.02009
5.2 1.4256 9.82729 3.14566 2.02071
5.3 1.45299 9.82667 3.20555 2.02133
5.4 1.48038 9.82603 3.2654 2.02197
5.5 1.50776 9.82538 3.32522 2.02262
5.6 1.53515 9.82472 3.385 2.02328
5.7 1.56253 9.82405 3.44475 2.02395
5.8 1.58991 9.82336 3.50446 2.02464
5.9 1.6173 9.82266 3.56413 2.02534
6 1.64467 9.82195 3.62376 2.02605
6.1 1.67205 9.82123 3.68336 2.02677
6.2 1.69943 9.8205 3.74292 2.0275
6.3 1.7268 9.81976 3.80243 2.02824
6.4 1.75417 9.819 3.86191 2.029
6.5 1.78155 9.81823 3.92134 2.02977
6.6 1.80891 9.81745 3.98074 2.03055
6.7 1.83628 9.81666 4.04009 2.03134
6.8 1.86365 9.81585 4.09939 2.03215
6.9 1.89101 9.81504 4.15866 2.03296
7 1.91837 9.81421 4.21788 2.03379
7.1 1.94573 9.81337 4.27705 2.03463
7.2 1.97309 9.81252 4.33618 2.03548
7.3 2.00044 9.81166 4.39527 2.03634
7.4 2.0278 9.81078 4.4543 2.03722
7.5 2.05515 9.80989 4.5133 2.03811
7.6 2.0825 9.809 4.57224 2.039
