#kinematics calculation of gsex
#vertex z = 150 mm, E_reaction = 61.468 MeV
#theta_cm, theta3_lab, Ek3_lab, theta4_lab, Ek4_lab
0 0 56.9408 0 0.0872321
0.1 0.0479894 56.9407 1.22718 0.0872754
0.2 0.0959788 56.9406 2.4531 0.0874052
0.3 0.143968 56.9404 3.6765 0.0876217
0.4 0.191958 56.9401 4.89612 0.0879248
0.5 0.239947 56.9397 6.11075 0.0883145
0.6 0.287936 56.9392 7.3192 0.0887907
0.7 0.335926 56.9386 8.52031 0.0893536
0.8 0.383915 56.938 9.71297 0.090003
0.9 0.431904 56.9373 10.8961 0.0907391
1 0.479894 56.9364 12.0687 0.0915617
1.1 0.527883 56.9355 13.2298 0.0924708
1.2 0.575872 56.9345 14.3784 0.0934666
1.3 0.623861 56.9335 15.5139 0.094549
1.4 0.671851 56.9323 16.6353 0.0957179
1.5 0.71984 56.931 17.7419 0.0969734
1.6 0.767829 56.9297 18.8332 0.0983154
1.7 0.815818 56.9283 19.9085 0.099744
1.8 0.863807 56.9267 20.9673 0.101259
1.9 0.911796 56.9251 22.0092 0.102861
2 0.959785 56.9235 23.0338 0.104549
2.1 1.00777 56.9217 24.0407 0.106324
2.2 1.05576 56.9198 25.0298 0.108185
2.3 1.10375 56.9179 26.0006 0.110133
2.4 1.15174 56.9158 26.9532 0.112168
2.5 1.19973 56.9137 27.8874 0.114288
2.6 1.24772 56.9115 28.8032 0.116496
2.7 1.29571 56.9092 29.7004 0.11879
2.8 1.34369 56.9068 30.5792 0.12117
2.9 1.39168 56.9044 31.4396 0.123637
3 1.43967 56.9018 32.2818 0.126191
3.1 1.48766 56.8992 33.1057 0.12883
3.2 1.53565 56.8964 33.9116 0.131557
3.3 1.58363 56.8936 34.6997 0.13437
3.4 1.63162 56.8907 35.4702 0.137269
3.5 1.67961 56.8877 36.2233 0.140255
3.6 1.7276 56.8847 36.9592 0.143327
3.7 1.77559 56.8815 37.6783 0.146485
3.8 1.82357 56.8783 38.3807 0.14973
3.9 1.87156 56.8749 39.0667 0.153062
