#kinematics calculation of gsgs
#vertex z = 700 mm, E_reaction = 20.728 MeV
#theta_cm, theta3_lab, Ek3_lab, theta4_lab, Ek4_lab
0 0 20.728 0 0
0.1 0.0499768 20.728 89.95 1.57853e-05
0.2 0.0999537 20.7279 89.9 6.3141e-05
0.3 0.14993 20.7279 89.8499 0.000142067
0.4 0.199907 20.7277 89.7999 0.000252563
0.5 0.249884 20.7276 89.7499 0.000394629
0.6 0.299861 20.7274 89.6999 0.000568265
0.7 0.349838 20.7272 89.6498 0.000773469
0.8 0.399815 20.727 89.5998 0.00101024
0.9 0.449791 20.7267 89.5498 0.00127858
1 0.499768 20.7264 89.4998 0.00157849
1.1 0.549745 20.7261 89.4497 0.00190996
1.2 0.599722 20.7257 89.3997 0.002273
1.3 0.649699 20.7253 89.3497 0.0026676
1.4 0.699676 20.7249 89.2997 0.00309376
1.5 0.749652 20.7244 89.2497 0.00355148
1.6 0.799629 20.724 89.1996 0.00404077
1.7 0.849606 20.7234 89.1496 0.00456161
1.8 0.899583 20.7229 89.0996 0.00511401
1.9 0.94956 20.7223 89.0496 0.00569796
2 0.999537 20.7217 88.9995 0.00631347
2.1 1.04951 20.721 88.9495 0.00696053
2.2 1.09949 20.7204 88.8995 0.00763913
2.3 1.14947 20.7197 88.8495 0.00834929
2.4 1.19944 20.7189 88.7994 0.00909099
2.5 1.24942 20.7181 88.7494 0.00986423
2.6 1.2994 20.7173 88.6994 0.010669
2.7 1.34937 20.7165 88.6494 0.0115053
2.8 1.39935 20.7156 88.5994 0.0123732
2.9 1.44933 20.7147 88.5493 0.0132726
3 1.49931 20.7138 88.4993 0.0142035
3.1 1.54928 20.7128 88.4493 0.0151659
3.2 1.59926 20.7118 88.3993 0.0161599
3.3 1.64924 20.7108 88.3492 0.0171854
3.4 1.69921 20.7098 88.2992 0.0182424
3.5 1.74919 20.7087 88.2492 0.0193309
3.6 1.79917 20.7075 88.1992 0.020451
3.7 1.84914 20.7064 88.1491 0.0216025
3.8 1.89912 20.7052 88.0991 0.0227856
3.9 1.9491 20.704 88.0491 0.0240001
4 1.99907 20.7028 87.9991 0.0252462
4.1 2.04905 20.7015 87.9491 0.0265237
4.2 2.09903 20.7002 87.899 0.0278328
