#kinematics calculation of gsex
#vertex z = 500 mm, E_reaction = 38.797 MeV
#theta_cm, theta3_lab, Ek3_lab, theta4_lab, Ek4_lab
0 0 34.2123 0 0.144743
0.1 0.0467197 34.2122 0.718635 0.144769
0.2 0.0934393 34.2122 1.43699 0.144847
0.3 0.140159 34.212 2.1548 0.144977
0.4 0.186879 34.2118 2.87179 0.145158
0.5 0.233598 34.2116 3.58768 0.145392
0.6 0.280318 34.2113 4.3022 0.145677
0.7 0.327037 34.211 5.01509 0.146014
0.8 0.373757 34.2106 5.72609 0.146404
0.9 0.420476 34.2102 6.43493 0.146845
1 0.467196 34.2097 7.14136 0.147338
1.1 0.513915 34.2091 7.84514 0.147882
1.2 0.560634 34.2085 8.54601 0.148479
1.3 0.607354 34.2079 9.24374 0.149128
1.4 0.654073 34.2072 9.93809 0.149828
1.5 0.700792 34.2064 10.6288 0.15058
1.6 0.747511 34.2056 11.3158 0.151385
1.7 0.79423 34.2048 11.9987 0.152241
1.8 0.840949 34.2039 12.6774 0.153149
1.9 0.887668 34.2029 13.3516 0.154108
2 0.934387 34.2019 14.0212 0.15512
2.1 0.981105 34.2008 14.6861 0.156183
2.2 1.02782 34.1997 15.3459 0.157299
2.3 1.07454 34.1985 16.0007 0.158466
2.4 1.12126 34.1973 16.6501 0.159685
2.5 1.16798 34.196 17.2941 0.160956
2.6 1.2147 34.1947 17.9325 0.162279
2.7 1.26141 34.1933 18.5653 0.163653
2.8 1.30813 34.1919 19.1922 0.16508
2.9 1.35485 34.1904 19.8132 0.166558
3 1.40157 34.1889 20.4282 0.168088
3.1 1.44829 34.1873 21.037 0.16967
3.2 1.495 34.1857 21.6396 0.171304
3.3 1.54172 34.184 22.236 0.172989
3.4 1.58844 34.1823 22.826 0.174726
3.5 1.63515 34.1805 23.4095 0.176515
3.6 1.68187 34.1786 23.9866 0.178356
3.7 1.72859 34.1768 24.5571 0.180249
3.8 1.7753 34.1748 25.1211 0.182193
3.9 1.82202 34.1728 25.6784 0.18419
4 1.86873 34.1708 26.2292 0.186238
4.1 1.91545 34.1687 26.7732 0.188337
4.2 1.96217 34.1665 27.3106 0.190489
4.3 2.00888 34.1643 27.8414 0.192692
4.4 2.0556 34.1621 28.3654 0.194947
4.5 2.10231 34.1597 28.8828 0.197254
4.6 2.14903 34.1574 29.3935 0.199612
4.7 2.19574 34.155 29.8976 0.202023
4.8 2.24245 34.1525 30.395 0.204485
4.9 2.28917 34.15 30.8858 0.206998
5 2.33588 34.1474 31.37 0.209563
5.1 2.3826 34.1448 31.8476 0.21218
5.2 2.42931 34.1422 32.3187 0.214849
5.3 2.47602 34.1394 32.7833 0.21757
5.4 2.52274 34.1367 33.2414 0.220342
5.5 2.56945 34.1338 33.6932 0.223165
5.6 2.61616 34.131 34.1386 0.226041
5.7 2.66287 34.128 34.5776 0.228968
5.8 2.70958 34.1251 35.0104 0.231946
5.9 2.75629 34.122 35.437 0.234976
6 2.80301 34.1189 35.8574 0.238058
6.1 2.84972 34.1158 36.2717 0.241192
6.2 2.89643 34.1126 36.68 0.244377
6.3 2.94314 34.1094 37.0823 0.247613
6.4 2.98985 34.1061 37.4786 0.250902
6.5 3.03656 34.1028 37.8691 0.254241
6.6 3.08327 34.0994 38.2539 0.257633
6.7 3.12998 34.0959 38.6329 0.261076
6.8 3.17668 34.0924 39.0062 0.26457
6.9 3.22339 34.0889 39.3739 0.268116
