#kinematics calculation of exex
#vertex z = 200 mm, E_reaction = 58.618 MeV
#theta_cm, theta3_lab, Ek3_lab, theta4_lab, Ek4_lab
0 0 49.3374 0 0.400615
0.1 0.0454398 49.3373 0.504802 0.400652
0.2 0.0908797 49.3372 1.0095 0.400764
0.3 0.13632 49.337 1.51399 0.400951
0.4 0.181759 49.3368 2.01818 0.401211
0.5 0.227199 49.3365 2.52195 0.401547
0.6 0.272639 49.336 3.02521 0.401957
0.7 0.318079 49.3356 3.52785 0.402441
0.8 0.363518 49.335 4.02978 0.403
0.9 0.408958 49.3344 4.53089 0.403634
1 0.454397 49.3337 5.03108 0.404342
1.1 0.499837 49.3329 5.53027 0.405124
1.2 0.545276 49.332 6.02834 0.405981
1.3 0.590716 49.3311 6.5252 0.406913
1.4 0.636155 49.3301 7.02077 0.407919
1.5 0.681594 49.329 7.51494 0.409
1.6 0.727033 49.3278 8.00763 0.410155
1.7 0.772472 49.3266 8.49874 0.411385
1.8 0.817911 49.3253 8.98818 0.412689
1.9 0.863349 49.3239 9.47588 0.414067
2 0.908788 49.3225 9.96174 0.415521
2.1 0.954226 49.321 10.4457 0.417048
2.2 0.999665 49.3193 10.9276 0.41865
2.3 1.0451 49.3177 11.4075 0.420327
2.4 1.09054 49.3159 11.8852 0.422078
2.5 1.13598 49.3141 12.3607 0.423904
2.6 1.18142 49.3122 12.8338 0.425804
2.7 1.22685 49.3102 13.3046 0.427778
2.8 1.27229 49.3082 13.773 0.429827
2.9 1.31773 49.306 14.2388 0.43195
3 1.36317 49.3039 14.7021 0.434148
3.1 1.4086 49.3016 15.1627 0.43642
3.2 1.45404 49.2992 15.6207 0.438767
3.3 1.49948 49.2968 16.0759 0.441188
3.4 1.54491 49.2943 16.5282 0.443684
3.5 1.59035 49.2917 16.9778 0.446254
3.6 1.63578 49.2891 17.4244 0.448898
3.7 1.68122 49.2864 17.868 0.451617
3.8 1.72665 49.2836 18.3087 0.45441
3.9 1.77209 49.2807 18.7463 0.457277
4 1.81752 49.2778 19.1808 0.460219
4.1 1.86296 49.2748 19.6122 0.463235
4.2 1.90839 49.2717 20.0404 0.466326
4.3 1.95383 49.2685 20.4654 0.46949
4.4 1.99926 49.2653 20.8872 0.47273
4.5 2.04469 49.262 21.3058 0.476043
4.6 2.09013 49.2586 21.721 0.479431
4.7 2.13556 49.2551 22.133 0.482893
4.8 2.18099 49.2516 22.5416 0.486429
4.9 2.22642 49.248 22.9468 0.49004
5 2.27185 49.2443 23.3487 0.493725
5.1 2.31729 49.2405 23.7472 0.497484
5.2 2.36272 49.2367 24.1422 0.501317
5.3 2.40815 49.2328 24.5339 0.505225
5.4 2.45358 49.2288 24.9221 0.509207
5.5 2.49901 49.2247 25.3069 0.513263
5.6 2.54444 49.2206 25.6882 0.517393
5.7 2.58987 49.2164 26.066 0.521597
5.8 2.63529 49.2121 26.4404 0.525876
5.9 2.68072 49.2078 26.8113 0.530229
6 2.72615 49.2033 27.1788 0.534656
6.1 2.77158 49.1988 27.5427 0.539157
6.2 2.81701 49.1943 27.9032 0.543732
6.3 2.86243 49.1896 28.2603 0.548381
6.4 2.90786 49.1849 28.6139 0.553104
6.5 2.95329 49.1801 28.964 0.557901
6.6 2.99871 49.1752 29.3106 0.562773
6.7 3.04414 49.1703 29.6538 0.567718
6.8 3.08956 49.1653 29.9936 0.572738
6.9 3.13499 49.1602 30.33 0.577831
7 3.18041 49.155 30.6629 0.582999
7.1 3.22583 49.1498 30.9925 0.58824
7.2 3.27126 49.1444 31.3186 0.593556
7.3 3.31668 49.1391 31.6414 0.598945
7.4 3.3621 49.1336 31.9608 0.604408
7.5 3.40752 49.1281 32.2768 0.609946
7.6 3.45294 49.1224 32.5896 0.615557
7.7 3.49836 49.1168 32.899 0.621242
7.8 3.54378 49.111 33.2051 0.627001
7.9 3.5892 49.1052 33.5079 0.632833
8 3.63462 49.0993 33.8075 0.63874
8.1 3.68004 49.0933 34.1039 0.64472
8.2 3.72546 49.0872 34.397 0.650774
8.3 3.77087 49.0811 34.6869 0.656902
8.4 3.81629 49.0749 34.9737 0.663104
8.5 3.86171 49.0686 35.2573 0.669379
8.6 3.90712 49.0623 35.5377 0.675728
8.7 3.95254 49.0558 35.8151 0.682151
8.8 3.99795 49.0494 36.0894 0.688648
8.9 4.04336 49.0428 36.3606 0.695218
9 4.08878 49.0361 36.6288 0.701862
9.1 4.13419 49.0294 36.8939 0.708579
9.2 4.1796 49.0226 37.1561 0.71537
9.3 4.22501 49.0158 37.4153 0.722235
9.4 4.27042 49.0088 37.6715 0.729173
9.5 4.31583 49.0018 37.9249 0.736184
9.6 4.36124 48.9947 38.1753 0.74327
