#kinematics calculation of gsgs
#vertex z = 500 mm, E_reaction = 38.797 MeV
#theta_cm, theta3_lab, Ek3_lab, theta4_lab, Ek4_lab
0 0 38.797 0 0
0.1 0.0499567 38.797 89.95 2.95456e-05
0.2 0.0999133 38.7969 89.8999 0.000118182
0.3 0.14987 38.7967 89.8499 0.00026591
0.4 0.199827 38.7965 89.7998 0.000472728
0.5 0.249783 38.7963 89.7498 0.000738635
0.6 0.29974 38.7959 89.6997 0.00106363
0.7 0.349697 38.7956 89.6497 0.00144772
0.8 0.399653 38.7951 89.5997 0.00189089
0.9 0.44961 38.7946 89.5496 0.00239314
1 0.499567 38.794 89.4996 0.00295449
1.1 0.549523 38.7934 89.4495 0.00357491
1.2 0.59948 38.7927 89.3995 0.00425441
1.3 0.649437 38.792 89.3494 0.00499299
1.4 0.699393 38.7912 89.2994 0.00579065
1.5 0.74935 38.7904 89.2493 0.00664738
1.6 0.799307 38.7894 89.1993 0.00756318
1.7 0.849263 38.7885 89.1493 0.00853805
1.8 0.89922 38.7874 89.0992 0.00957199
1.9 0.949177 38.7863 89.0492 0.010665
2 0.999133 38.7852 88.9991 0.011817
2.1 1.04909 38.784 88.9491 0.0130282
2.2 1.09905 38.7827 88.899 0.0142983
2.3 1.149 38.7814 88.849 0.0156275
2.4 1.19896 38.78 88.799 0.0170158
2.5 1.24892 38.7785 88.7489 0.0184631
2.6 1.29887 38.777 88.6989 0.0199694
2.7 1.34883 38.7755 88.6488 0.0215348
2.8 1.39879 38.7738 88.5988 0.0231591
2.9 1.44874 38.7722 88.5487 0.0248425
3 1.4987 38.7704 88.4987 0.026585
3.1 1.54866 38.7686 88.4487 0.0283864
3.2 1.59861 38.7668 88.3986 0.0302468
3.3 1.64857 38.7648 88.3486 0.0321663
3.4 1.69853 38.7629 88.2985 0.0341447
3.5 1.74848 38.7608 88.2485 0.0361821
3.6 1.79844 38.7587 88.1984 0.0382785
3.7 1.8484 38.7566 88.1484 0.0404339
3.8 1.89835 38.7544 88.0984 0.0426482
3.9 1.94831 38.7521 88.0483 0.0449215
4 1.99827 38.7497 87.9983 0.0472538
4.1 2.04822 38.7474 87.9482 0.049645
4.2 2.09818 38.7449 87.8982 0.0520951
4.3 2.14814 38.7424 87.8481 0.0546042
4.4 2.19809 38.7398 87.7981 0.0571722
4.5 2.24805 38.7372 87.748 0.0597991
4.6 2.29801 38.7345 87.698 0.0624849
4.7 2.34797 38.7318 87.648 0.0652297
4.8 2.39792 38.729 87.5979 0.0680333
4.9 2.44788 38.7261 87.5479 0.0708958
5 2.49784 38.7232 87.4978 0.0738171
5.1 2.54779 38.7202 87.4478 0.0767974
5.2 2.59775 38.7172 87.3977 0.0798365
5.3 2.64771 38.7141 87.3477 0.0829344
5.4 2.69766 38.7109 87.2977 0.0860912
5.5 2.74762 38.7077 87.2476 0.0893068
5.6 2.79758 38.7044 87.1976 0.0925813
5.7 2.84753 38.7011 87.1475 0.0959145
5.8 2.89749 38.6977 87.0975 0.0993066
5.9 2.94745 38.6942 87.0474 0.102757
6 2.9974 38.6907 86.9974 0.106267
6.1 3.04736 38.6872 86.9474 0.109835
6.2 3.09732 38.6835 86.8973 0.113463
6.3 3.14727 38.6799 86.8473 0.117148
6.4 3.19723 38.6761 86.7972 0.120893
6.5 3.24719 38.6723 86.7472 0.124696
6.6 3.29715 38.6684 86.6971 0.128558
6.7 3.3471 38.6645 86.6471 0.132479
6.8 3.39706 38.6605 86.5971 0.136459
6.9 3.44702 38.6565 86.547 0.140497
7 3.49697 38.6524 86.497 0.144593
7.1 3.54693 38.6483 86.4469 0.148749
7.2 3.59689 38.644 86.3969 0.152963
7.3 3.64684 38.6398 86.3468 0.157236
7.4 3.6968 38.6354 86.2968 0.161567
7.5 3.74676 38.631 86.2468 0.165957
7.6 3.79672 38.6266 86.1967 0.170405
7.7 3.84667 38.6221 86.1467 0.174912
7.8 3.89663 38.6175 86.0966 0.179478
7.9 3.94659 38.6129 86.0466 0.184102
8 3.99654 38.6082 85.9965 0.188785
8.1 4.0465 38.6035 85.9465 0.193526
8.2 4.09646 38.5987 85.8965 0.198326
8.3 4.14642 38.5938 85.8464 0.203184
8.4 4.19637 38.5889 85.7964 0.208101
8.5 4.24633 38.5839 85.7463 0.213076
8.6 4.29629 38.5789 85.6963 0.218109
8.7 4.34624 38.5738 85.6462 0.223201
8.8 4.3962 38.5686 85.5962 0.228352
8.9 4.44616 38.5634 85.5462 0.233561
9 4.49612 38.5582 85.4961 0.238828
9.1 4.54607 38.5528 85.4461 0.244153
9.2 4.59603 38.5475 85.396 0.249537
9.3 4.64599 38.542 85.346 0.254979
9.4 4.69594 38.5365 85.2959 0.26048
9.5 4.7459 38.531 85.2459 0.266039
9.6 4.79586 38.5253 85.1959 0.271656
9.7 4.84582 38.5197 85.1458 0.277331
9.8 4.89577 38.5139 85.0958 0.283065
9.9 4.94573 38.5081 85.0457 0.288857
10 4.99569 38.5023 84.9957 0.294707
10.1 5.04565 38.4964 84.9456 0.300615
10.2 5.0956 38.4904 84.8956 0.306581
10.3 5.14556 38.4844 84.8456 0.312606
10.4 5.19552 38.4783 84.7955 0.318689
10.5 5.24547 38.4722 84.7455 0.32483
10.6 5.29543 38.466 84.6954 0.331029
10.7 5.34539 38.4597 84.6454 0.337286
10.8 5.39535 38.4534 84.5953 0.343601
10.9 5.4453 38.447 84.5453 0.349974
11 5.49526 38.4406 84.4953 0.356405
11.1 5.54522 38.4341 84.4452 0.362894
11.2 5.59518 38.4276 84.3952 0.369441
11.3 5.64513 38.421 84.3451 0.376047
11.4 5.69509 38.4143 84.2951 0.38271
11.5 5.74505 38.4076 84.245 0.389431
11.6 5.79501 38.4008 84.195 0.39621
11.7 5.84496 38.394 84.145 0.403046
11.8 5.89492 38.3871 84.0949 0.409941
11.9 5.94488 38.3801 84.0449 0.416893
12 5.99484 38.3731 83.9948 0.423904
12.1 6.04479 38.366 83.9448 0.430972
12.2 6.09475 38.3589 83.8947 0.438098
12.3 6.14471 38.3517 83.8447 0.445281
12.4 6.19467 38.3445 83.7947 0.452523
12.5 6.24463 38.3372 83.7446 0.459822
12.6 6.29458 38.3298 83.6946 0.467179
12.7 6.34454 38.3224 83.6445 0.474593
12.8 6.3945 38.3149 83.5945 0.482065
12.9 6.44446 38.3074 83.5445 0.489595
13 6.49441 38.2998 83.4944 0.497182
13.1 6.54437 38.2922 83.4444 0.504827
13.2 6.59433 38.2845 83.3943 0.51253
13.3 6.64429 38.2767 83.3443 0.52029
13.4 6.69425 38.2689 83.2942 0.528107
13.5 6.7442 38.261 83.2442 0.535982
13.6 6.79416 38.2531 83.1942 0.543915
13.7 6.84412 38.2451 83.1441 0.551904
13.8 6.89408 38.237 83.0941 0.559952
13.9 6.94403 38.2289 83.044 0.568056
14 6.99399 38.2208 82.994 0.576218
14.1 7.04395 38.2126 82.9439 0.584438
14.2 7.09391 38.2043 82.8939 0.592714
14.3 7.14387 38.196 82.8439 0.601048
14.4 7.19382 38.1876 82.7938 0.60944
14.5 7.24378 38.1791 82.7438 0.617888
14.6 7.29374 38.1706 82.6937 0.626394
14.7 7.3437 38.162 82.6437 0.634956
14.8 7.39366 38.1534 82.5937 0.643576
14.9 7.44361 38.1447 82.5436 0.652254
15 7.49357 38.136 82.4936 0.660988
15.1 7.54353 38.1272 82.4435 0.669779
15.2 7.59349 38.1184 82.3935 0.678628
15.3 7.64345 38.1095 82.3434 0.687533
15.4 7.69341 38.1005 82.2934 0.696495
15.5 7.74336 38.0915 82.2434 0.705515
15.6 7.79332 38.0824 82.1933 0.714591
15.7 7.84328 38.0733 82.1433 0.723724
15.8 7.89324 38.0641 82.0932 0.732914
15.9 7.9432 38.0548 82.0432 0.742161
16 7.99316 38.0455 81.9931 0.751465
16.1 8.04311 38.0362 81.9431 0.760826
16.2 8.09307 38.0268 81.8931 0.770243
16.3 8.14303 38.0173 81.843 0.779717
16.4 8.19299 38.0078 81.793 0.789248
16.5 8.24295 37.9982 81.7429 0.798835
16.6 8.29291 37.9885 81.6929 0.80848
16.7 8.34286 37.9788 81.6429 0.81818
16.8 8.39282 37.9691 81.5928 0.827938
16.9 8.44278 37.9592 81.5428 0.837752
17 8.49274 37.9494 81.4927 0.847622
17.1 8.5427 37.9395 81.4427 0.857549
17.2 8.59266 37.9295 81.3927 0.867533
17.3 8.64262 37.9194 81.3426 0.877573
17.4 8.69257 37.9093 81.2926 0.887669
17.5 8.74253 37.8992 81.2425 0.897822
17.6 8.79249 37.889 81.1925 0.908031
17.7 8.84245 37.8787 81.1424 0.918296
17.8 8.89241 37.8684 81.0924 0.928618
17.9 8.94237 37.858 81.0424 0.938996
18 8.99233 37.8476 80.9923 0.94943
18.1 9.04228 37.8371 80.9423 0.959921
18.2 9.09224 37.8265 80.8922 0.970467
18.3 9.1422 37.8159 80.8422 0.98107
18.4 9.19216 37.8053 80.7922 0.991729
18.5 9.24212 37.7946 80.7421 1.00244
18.6 9.29208 37.7838 80.6921 1.01321
18.7 9.34204 37.773 80.642 1.02404
18.8 9.392 37.7621 80.592 1.03492
18.9 9.44196 37.7511 80.5419 1.04586
19 9.49192 37.7401 80.4919 1.05686
19.1 9.54187 37.7291 80.4419 1.06791
19.2 9.59183 37.718 80.3918 1.07901
19.3 9.64179 37.7068 80.3418 1.09018
19.4 9.69175 37.6956 80.2917 1.1014
19.5 9.74171 37.6843 80.2417 1.11267
19.6 9.79167 37.673 80.1917 1.124
19.7 9.84163 37.6616 80.1416 1.13538
19.8 9.89159 37.6502 80.0916 1.14682
19.9 9.94155 37.6387 80.0415 1.15832
20 9.99151 37.6271 79.9915 1.16987
20.1 10.0415 37.6155 79.9415 1.18148
20.2 10.0914 37.6039 79.8914 1.19314
20.3 10.1414 37.5921 79.8414 1.20486
20.4 10.1913 37.5804 79.7913 1.21664
20.5 10.2413 37.5685 79.7413 1.22846
20.6 10.2913 37.5567 79.6913 1.24035
20.7 10.3412 37.5447 79.6412 1.25229
20.8 10.3912 37.5327 79.5912 1.26428
20.9 10.4411 37.5207 79.5411 1.27633
21 10.4911 37.5086 79.4911 1.28844
21.1 10.5411 37.4964 79.4411 1.3006
21.2 10.591 37.4842 79.391 1.31282
21.3 10.641 37.4719 79.341 1.32509
21.4 10.6909 37.4596 79.2909 1.33741
21.5 10.7409 37.4472 79.2409 1.34979
21.6 10.7909 37.4348 79.1909 1.36223
21.7 10.8408 37.4223 79.1408 1.37472
21.8 10.8908 37.4097 79.0908 1.38727
21.9 10.9407 37.3971 79.0407 1.39987
22 10.9907 37.3845 78.9907 1.41252
22.1 11.0407 37.3718 78.9406 1.42523
22.2 11.0906 37.359 78.8906 1.438
22.3 11.1406 37.3462 78.8406 1.45082
22.4 11.1905 37.3333 78.7905 1.46369
22.5 11.2405 37.3204 78.7405 1.47662
22.6 11.2905 37.3074 78.6904 1.48961
22.7 11.3404 37.2944 78.6404 1.50264
22.8 11.3904 37.2813 78.5904 1.51574
22.9 11.4403 37.2681 78.5403 1.52888
23 11.4903 37.2549 78.4903 1.54209
23.1 11.5403 37.2417 78.4402 1.55534
23.2 11.5902 37.2283 78.3902 1.56865
23.3 11.6402 37.215 78.3402 1.58202
23.4 11.6901 37.2016 78.2901 1.59544
23.5 11.7401 37.1881 78.2401 1.60891
23.6 11.7901 37.1746 78.19 1.62244
23.7 11.84 37.161 78.14 1.63602
23.8 11.89 37.1473 78.09 1.64965
23.9 11.9399 37.1337 78.0399 1.66334
24 11.9899 37.1199 77.9899 1.67709
24.1 12.0399 37.1061 77.9399 1.69089
24.2 12.0898 37.0923 77.8898 1.70474
24.3 12.1398 37.0784 77.8398 1.71864
24.4 12.1897 37.0644 77.7897 1.7326
24.5 12.2397 37.0504 77.7397 1.74662
24.6 12.2897 37.0363 77.6897 1.76068
24.7 12.3396 37.0222 77.6396 1.7748
24.8 12.3896 37.008 77.5896 1.78898
24.9 12.4395 36.9938 77.5395 1.80321
25 12.4895 36.9795 77.4895 1.81749
25.1 12.5395 36.9652 77.4395 1.83182
25.2 12.5894 36.9508 77.3894 1.84621
25.3 12.6394 36.9363 77.3394 1.86065
25.4 12.6893 36.9218 77.2893 1.87515
25.5 12.7393 36.9073 77.2393 1.8897
25.6 12.7893 36.8927 77.1893 1.9043
25.7 12.8392 36.878 77.1392 1.91896
25.8 12.8892 36.8633 77.0892 1.93367
25.9 12.9392 36.8486 77.0391 1.94843
26 12.9891 36.8338 76.9891 1.96324
26.1 13.0391 36.8189 76.9391 1.97811
26.2 13.089 36.804 76.889 1.99303
26.3 13.139 36.789 76.839 2.00801
26.4 13.189 36.774 76.7889 2.02304
26.5 13.2389 36.7589 76.7389 2.03812
26.6 13.2889 36.7438 76.6889 2.05325
26.7 13.3388 36.7286 76.6388 2.06844
26.8 13.3888 36.7133 76.5888 2.08367
26.9 13.4388 36.698 76.5388 2.09897
27 13.4887 36.6827 76.4887 2.11431
27.1 13.5387 36.6673 76.4387 2.12971
27.2 13.5886 36.6518 76.3886 2.14516
27.3 13.6386 36.6363 76.3386 2.16066
27.4 13.6886 36.6208 76.2886 2.17621
27.5 13.7385 36.6052 76.2385 2.19182
27.6 13.7885 36.5895 76.1885 2.20748
27.7 13.8385 36.5738 76.1384 2.22319
27.8 13.8884 36.558 76.0884 2.23896
27.9 13.9384 36.5422 76.0384 2.25477
28 13.9883 36.5264 75.9883 2.27064
28.1 14.0383 36.5104 75.9383 2.28656
28.2 14.0883 36.4945 75.8883 2.30253
28.3 14.1382 36.4784 75.8382 2.31856
28.4 14.1882 36.4624 75.7882 2.33464
28.5 14.2382 36.4462 75.7381 2.35077
28.6 14.2881 36.4301 75.6881 2.36695
28.7 14.3381 36.4138 75.6381 2.38318
28.8 14.388 36.3975 75.588 2.39946
28.9 14.438 36.3812 75.538 2.4158
29 14.488 36.3648 75.488 2.43219
29.1 14.5379 36.3484 75.4379 2.44863
29.2 14.5879 36.3319 75.3879 2.46512
29.3 14.6378 36.3153 75.3378 2.48166
29.4 14.6878 36.2987 75.2878 2.49826
29.5 14.7378 36.2821 75.2378 2.51491
29.6 14.7877 36.2654 75.1877 2.5316
29.7 14.8377 36.2486 75.1377 2.54835
29.8 14.8877 36.2318 75.0876 2.56515
29.9 14.9376 36.215 75.0376 2.582
30 14.9876 36.1981 74.9876 2.59891
30.1 15.0375 36.1811 74.9375 2.61586
30.2 15.0875 36.1641 74.8875 2.63287
30.3 15.1375 36.1471 74.8375 2.64992
30.4 15.1874 36.13 74.7874 2.66703
30.5 15.2374 36.1128 74.7374 2.68419
30.6 15.2874 36.0956 74.6873 2.7014
30.7 15.3373 36.0783 74.6373 2.71866
30.8 15.3873 36.061 74.5873 2.73597
30.9 15.4372 36.0437 74.5372 2.75333
31 15.4872 36.0263 74.4872 2.77074
31.1 15.5372 36.0088 74.4372 2.7882
31.2 15.5871 35.9913 74.3871 2.80572
31.3 15.6371 35.9737 74.3371 2.82328
31.4 15.6871 35.9561 74.2871 2.84089
31.5 15.737 35.9384 74.237 2.85856
31.6 15.787 35.9207 74.187 2.87628
31.7 15.837 35.903 74.1369 2.89404
31.8 15.8869 35.8851 74.0869 2.91186
31.9 15.9369 35.8673 74.0369 2.92972
32 15.9868 35.8494 73.9868 2.94764
32.1 16.0368 35.8314 73.9368 2.96561
32.2 16.0868 35.8134 73.8868 2.98362
32.3 16.1367 35.7953 73.8367 3.00169
32.4 16.1867 35.7772 73.7867 3.0198
32.5 16.2367 35.759 73.7366 3.03797
32.6 16.2866 35.7408 73.6866 3.05619
32.7 16.3366 35.7225 73.6366 3.07445
32.8 16.3865 35.7042 73.5865 3.09277
32.9 16.4365 35.6859 73.5365 3.11113
33 16.4865 35.6675 73.4865 3.12955
33.1 16.5364 35.649 73.4364 3.14801
33.2 16.5864 35.6305 73.3864 3.16653
33.3 16.6364 35.6119 73.3364 3.18509
33.4 16.6863 35.5933 73.2863 3.2037
33.5 16.7363 35.5746 73.2363 3.22237
33.6 16.7863 35.5559 73.1862 3.24108
33.7 16.8362 35.5372 73.1362 3.25984
33.8 16.8862 35.5184 73.0862 3.27865
33.9 16.9361 35.4995 73.0361 3.29751
34 16.9861 35.4806 72.9861 3.31641
34.1 17.0361 35.4616 72.9361 3.33537
34.2 17.086 35.4426 72.886 3.35438
34.3 17.136 35.4236 72.836 3.37343
34.4 17.186 35.4045 72.786 3.39254
