#cross-section 12c12c elastic scattering theta = 90.
#Ecm, dsigma/dOMEGA (mb/sr) 
#Y.Kucuk et.al NPA 764 (2006) 160-180 fig.6
5.5243669661578325, 837.7429717805678
5.826827790889658, 765.8677771809654
6.129288615621484, 694.0880536230195
6.42364781111942, 628.592450564868
6.617879178649816, 561.038057795679
6.731059631494179, 509.15632100162424
6.913796379769656, 451.01818968967785
7.002014120316438, 400.30801087079647
7.121738196772786, 361.1062962224829
7.2215082604864085, 314.4940481700296
7.341652421421549, 272.5505708472938
7.45255472382322, 239.7128168558342
7.509266128460436, 209.4838124891054
7.533986484327941, 184.3365107668113
7.629427792915531, 171.25563081073105
7.765667574931881, 154.89277220267846
7.970027247956403, 162.86884113172957
8.174386920980925, 168.41311496020603
8.242506811989102, 152.32184850204715
8.301771654801037, 107.18852938705096
8.317403644540782, 138.43958350196723
8.322129594927219, 120.31925646800482
8.384400941195533, 93.53866730043548
8.455716459183776, 82.1739135045054
8.855585831062669, 77.98375690228416
8.923705722070846, 70.53268985195699
9.12806539509537, 67.07853869510332
9.196185286103542, 71.72315704883609
9.26430517711172, 76.68937572469112
9.287218410683373, 82.57800890424743
9.332425068119893, 87.67722826782698
9.369109372845074, 94.07193590663735
9.626491901583215, 93.92080864711959
9.645395703128955, 86.24461051684771
9.649176463438103, 78.90729792226888
9.72101090931191, 62.853933449360845
9.72101090931191, 70.58372837144074
9.748016340091539, 55.36487684159078
9.844515746077406, 50.34862227352637
9.985664130952259, 46.684705377852936
10.08174386920981, 50.46745711351661
10.149863760217986, 54.87268086006253
10.21798365122616, 64.87026776188304
10.422343324250683, 59.66242955331776
10.55858310626703, 56.74062052413076
10.626702997275206, 53.066235035088205
10.69482288828338, 48.806034238401786
10.899182561307903, 50.46745711351661
10.899182561307903, 46.41588833612777
10.967302452316076, 67.07853869510332
10.967302452316076, 63.793545417233574
10.967302452316076, 53.961899332079305
11.012140554885889, 70.83662021157093
11.026633469404292, 58.886044748727564
11.103542234332426, 76.68937572469112
11.206627313141759, 83.29357652480341
11.382024938464184, 92.66419774214262
11.630294865431559, 91.97810654662433
11.64850136239782, 86.22195400968116
11.663901623735097, 79.4589748849914
11.716621253405997, 74.16470952602197
11.720087922773818, 67.53202376626798
11.773423648563583, 59.047463505259124
11.873343742448203, 52.38080093666852
12.081285559451334, 47.35498521956882
12.198863050384173, 42.02958277164322
12.262845147923596, 37.28572501947467
12.327215015751147, 32.44936309996887
12.388809902454337, 28.010268048992625
12.443158331898339, 24.727844329217103
12.472241103507166, 19.079658268597267
12.475924921244285, 21.796273207637
12.534059945504087, 17.87872105733415
12.60217983651226, 14.872294799576572
12.60217983651226, 16.17047366500584
12.806539509536787, 16.443402692618314
12.806539509536787, 15.378567664623777
12.806539509536787, 14.143963661279539
12.87465940054496, 20.101066806064313
12.87465940054496, 17.87872105733415
12.942779291553137, 21.855656830796597
13.07901907356948, 23.36897520093296
13.283378746594007, 18.799370287693176
13.283378746594007, 20.440337301846075
13.35149863760218, 15.638130717984518
13.35149863760218, 17.29014144898102
13.555858310626704, 21.136153802782513
13.62397820163488, 15.123312861391197
13.728616837008595, 17.393120787898336
13.760217983651224, 20.785334084218423
13.993270058648942, 15.000840058878175
14.049981463286162, 9.00918853370381
14.182308074106334, 23.59559699860358
14.30517711171662, 33.77198548757678
14.44141689373297, 36.71988817471319
14.57765667574932, 39.92510858028884
14.645776566757494, 48.806034238401786
14.782016348773844, 46.41588833612777
14.919556334390158, 26.01083414105505
15.05449591280654, 22.59965270704368
15.190735694822887, 23.763402217112038
15.265225848369386, 19.53259468749574
15.448862777670854, 17.921781936718315
15.543381785399546, 15.26095830842961
15.667574931880107, 10.120270203631778
15.803814713896458, 9.624656848960084
15.92145781631433, 8.193352366353299
16.072688228680242, 10.808353764001733
16.148303434863198, 16.04060560071132
16.280653950953678, 22.59965270704368
16.416893732970028, 23.36897520093296
16.54528326732372, 18.5334124823594
16.658706076598154, 14.090978105610835
16.791032687418326, 8.937414823175702
16.904455496692762, 6.068449761123199
17.068288443422503, 7.6883338385113875
17.206916321424586, 9.295923554400371
17.43869209809264, 8.4184792322178
17.506811989100818, 9.001387326417701
17.660607558522326, 7.121625789666406
17.841243884403834, 5.766050946694027
18.098095537152286, 6.035957911737052
18.133202597165802, 7.604282012873538
18.318039767835252, 11.21849069280691
18.530182429626322, 10.004625418113454
18.567990032717802, 11.823840735071915
18.662509040446498, 6.776912609913648
18.757028048175194, 4.4025897833456025
18.927162262086846, 5.8545076549923065
19.021681269815538, 10.110796216112972
19.154007880635714, 18.54202279461486
19.277609659973237, 29.111164494646758
19.456468705367538, 32.109939070691965
19.550987713096234, 23.3872936993086
19.66441052237067, 13.064644834979177
19.822888283378745, 7.614123867553345
19.891008174386922, 7.121051603057886
20.04248655328545, 8.534103322889282
20.174813164105622, 12.981281038578263
20.307139774925798, 20.14016875282746
20.435967302452315, 28.567160975391516
20.50408719346049, 27.16816013849892
20.685215805840578, 18.95027399765243
20.798638615115014, 12.88386114915776
20.912806539509535, 10.821012850190867
21.049046321525886, 10.29108248551502
21.138907042938317, 8.747534892798178
21.29013745530423, 6.517321500392837
21.403560264578665, 4.953036323077804
21.535886875398838, 3.611624122738131
21.66821348621901, 2.1731776735371993
21.762732493947706, 1.5178117640939515
21.934604904632153, 1.2915496650148854
22.138964577656676, 1.3133487416213117
22.275204359673022, 1.2079120293374543
22.411444141689373, 1.4042869729670053
22.578746594005445, 1.5971635058855052
22.655412011385383, 1.4675458581454592
22.840249182054833, 1.1418856934488282
22.896960586692053, 0.97874653717966
23.14271000678666, 1.1329526137122907
23.20752304065776, 1.3298440306964527
23.293940419152573, 1.5685583271303716
23.43324250681199, 1.4520907852726015
23.56948228882834, 1.3580568945450766
23.634208846975877, 0.5914459685209761
23.78543925934179, 0.8382774035200782
23.91776587016196, 0.7304445015328646
24.031188679436397, 1.149383707828852
24.14461148871083, 1.3035596377402607
24.258034297985265, 1.7426305518224599
24.409264710351177, 2.455127199306635
24.541591321171353, 3.040066670961916
24.659400544959126, 4.098913406371184
24.795640326975477, 3.963974400406567
24.96377622235952, 3.163520005943432
25.03309016136057, 2.8116265010555614
25.25993577990944, 3.2668652848284014
25.373358589183873, 4.151626411821848
25.40276450269947, 5.7744210407347785
25.600204207732737, 5.562900351371087
25.656915612369957, 6.161401016992092
25.69052237067349, 7.682384406025183
25.817438692098094, 8.141337193168251
25.95367847411444, 8.851981516921514
26.186222055650653, 7.826449676789467
26.299644864925085, 6.3149597476200015
26.413067674199525, 4.839333578809109
26.507586681928217, 4.210473761370182
26.678832884166084, 3.6613012082665626
27.00381147250387, 3.835225855216806
27.036893125208913, 4.335866908963949
27.45277675921517, 4.231117910859272
27.665874158458045, 3.8058552336613474
27.67962237776404, 4.20988117847864
27.774141385492733, 3.3560693921836235
27.887564194767172, 2.939957125386951
28.057698408678824, 2.492837968611592
28.180573118726123, 2.315029530787633
28.39796683650213, 1.9041317298992972
28.4357744395936, 2.3924615644528666
28.51138964577656, 1.4422226433097574
28.624812455050993, 0.9937800901792884
28.757139065871165, 0.5497119185930406
28.889465676691344, 0.1401476945576086
29.021792287511516, 0.04022136335970485
29.15411889833169, 0.33915820995273344
29.229734104514648, 0.8845408501496523
29.427792915531334, 1.4279888561623102
29.56403269754768, 1.4279888561623102
29.645617738520905, 1.0614455568185153
29.759040547795337, 0.33973153260421496
29.872463357069776, 0.44102712339977085
30.042597570981428, 0.5413503525117749
30.20012925052925, 0.869680938119415
30.3923178995776, 0.7891170563880411
30.553000212716384, 0.9473871512040479
30.666423021990816, 1.3299127908863488
30.77984583126525, 1.7025545365465855
