# integrated cross-section 12c12c elastic scattering.
#Ecm, sigma (mb/sr) 
#H. Emling et.al NPA 211 (1973) 600-616 fig.3
37.44557057057058, 389.2559361131723
37.26309642976311, 374.5717463889538
37.08062228895563, 343.5722724733923
36.89814814814816, 316.65246053188963
36.679179179179194, 322.7403589890501
36.46021021021022, 343.4461880293104
36.241241241241255, 351.73110718413346
36.05876710043378, 392.68314326739613
35.876292959626305, 423.9377224114515
35.10990156823491, 363.48941771912166
34.890932599265945, 396.1918472085809
34.70845845845847, 411.63471535431387
34.4894894894895, 421.56453975445595
34.30701534868203, 396.0550035475952
34.08804637971306, 386.6258635326768
33.94206706706708, 377.43750741739643
33.467634300967646, 388.34092792078576
33.175675675675684, 390.139404681252
32.99320153486821, 384.5279640665488
32.77423256589925, 354.3915117212003
32.51876876876878, 344.292581537941
32.26330497163831, 418.9965189658972
32.11732565899234, 433.2559975091516
31.825367033700374, 435.2624840441268
31.49691358024692, 422.84075178916606
31.314439439439447, 439.32234782030537
31.05897564230898, 474.26857107195474
30.949491157824497, 460.793354418159
30.694027360694044, 399.01620051484883
30.511553219886558, 364.24361915187325
30.329079079079087, 360.72956002856375
30.07361528194862, 462.7674774691661
29.891141141141148, 544.6188357267813
29.708667000333676, 557.7686658850652
29.48969803136471, 536.715957360312
29.307223890557232, 560.3154983964658
29.051760093426772, 637.6348318188408
28.869285952619293, 665.671802162705
28.723306639973316, 634.4625218694047
28.540832499165838, 622.346736784737
28.32186353019687, 595.9929787089787
28.06639973306641, 628.1651713202721
27.883925592258933, 557.1668496540218
27.628461795128473, 513.489153866696
27.51897731064399, 494.1397600899137
27.263513513513523, 501.2208929215807
26.86207040373708, 639.8690263102795
26.643101434768113, 598.2620775731639
26.314647981314657, 612.6542109037069
26.13217384050718, 581.1258446873044
25.87671004337672, 581.0380214196404
25.62124624624625, 578.1722535834202
25.87671004337672, 535.5699436602312
25.329287620954297, 578.0723953436659
25.146813480146818, 589.1990237896135
24.854854854854864, 558.8415075659865
24.599391057724397, 558.7570520427138
24.234442776109454, 569.4504238632031
23.322072072072082, 740.8209209449385
22.957123790457125, 773.311522993143
23.10310310310311, 699.3216299495634
22.701659993326672, 795.7540385437812
22.519185852519186, 859.0899825568712
22.336711711711715, 791.7779710119044
22.15423757090425, 698.9291634466803
21.935268601935277, 682.2893005902157
21.7527944611278, 628.8300981657529
21.49733066399734, 619.7587661096585
21.314856523189867, 585.0537641955731
21.0593927260594, 587.7759440952128
20.98640306973641, 705.1742380123694
20.767434100767446, 688.3856945889236
20.54846513179848, 753.9234769380341
20.14702202202203, 772.0269510654246
19.928053053053056, 833.4564047169384
20.329496162829507, 643.5406162532834
19.745578912245584, 655.7715992511586
19.52660994327662, 662.002574846965
19.27114614614615, 598.5204757367636
19.01568234901569, 610.0143426833829
18.72372372372373, 598.3266666536408
18.541249582916258, 159.34964750055875
18.431765098431775, 197.69607015743392
18.212796129462802, 191.14814999888782
17.957332332332335, 186.5933324166563
17.701868535201882, 180.40925237109568
17.519394394394396, 186.54499368097302
17.30042542542543, 218.48537982474136
17.154446112779453, 235.8802402606542
16.971971971971975, 213.26994113302462
16.68001334668002, 219.45457648126097
16.534034034034036, 214.23912922324962
16.278570236903583, 236.8907943737089
16.1325909242576, 253.31098795126482
15.950116783450127, 326.53936829881656
15.731147814481155, 324.9358421391954
15.548673673673676, 317.2067311856849
15.22022022022022, 320.2000081260247
15.07424090757425, 327.93832270612086
14.891766766766771, 345.6556297024364
14.7092926259593, 366.08064352541084
14.526818485151828, 399.02481579486397
14.307849516182856, 422.5943248408499
14.161870203536878, 436.9762455366158
13.9793960627294, 454.0088184938446
13.72393226559894, 441.07114022303887
13.541458124791461, 458.2633250429519
13.395478812145484, 471.59327393609345
13.176509843176518, 487.62169196742474
12.921046046046051, 494.6094194309975
12.665582248915584, 504.10779933268213
12.446613279946618, 511.3428167068154
12.264139139139147, 531.2740690819148
11.972180513847185, 544.0664475716583
11.716716716716725, 554.5145903036347
11.534242575909246, 570.631972223684
11.278778778778786, 587.1924611463817
10.986820153486825, 601.3312807245493
10.767851184517859, 618.7960642053683
10.512387387387392, 633.709539159402
10.293418418418426, 648.9964530416074
